Policy ID,Policy Type,Coverage Amount,Premium Amount,Policy Start Date,Policy End Date,Payment Frequency,Status,Customer ID,Policy Tenure,Policy Tenure Buckets
POL39046123,Health,32087,483.06,44202,46915,Quarterly,Active,CUST73404920,2713,<8 years
POL51620232,Life,60445,757.14,43282,46624,Annually,Lapsed,CUST01691078,3342,>8yrs
POL36575612,Property,68226,886.95,43395,46240,Annually,Active,CUST30000380,2845,<8 years
POL48412691,Auto,354308,237.23,44793,47255,Monthly,Lapsed,CUST31924421,2462,<8 years
POL15402724,Health,39002,1757.07,43768,46749,Annually,Lapsed,CUST82780241,2981,>8yrs
POL83997445,Property,431985,1615.36,43749,45546,Annually,Terminated,CUST57732941,1797,<6 years
POL20505761,Health,320924,261.74,45592,48568,Quarterly,Terminated,CUST26702312,2976,>8yrs
POL69974800,Property,345959,1252.45,42859,44387,Quarterly,Active,CUST32321186,1528,<6 years
POL30601696,Health,147344,255.09,44561,45737,Quarterly,Active,CUST37922598,1176,<4 years
POL62179381,Auto,426864,1872.17,44729,46318,Monthly,Terminated,CUST81469819,1589,<6 years
POL77239759,Health,239948,1756.6,44573,46815,Quarterly,Lapsed,CUST62368924,2242,<8 years
POL44219481,Health,197458,1192.48,43524,46951,Annually,Terminated,CUST20014882,3427,>8yrs
POL75428993,Life,288667,527.69,42363,43515,Annually,Lapsed,CUST80499403,1152,<4 years
POL65504828,Health,195603,1759.66,42310,44477,Monthly,Terminated,CUST70215391,2167,<6 years
POL96603488,Life,146452,1737.04,45120,48283,Quarterly,Terminated,CUST33662644,3163,>8yrs
POL13213398,Auto,46873,1536.7,43144,44840,Quarterly,Active,CUST48448849,1696,<6 years
POL27777205,Auto,480192,599.11,42302,44304,Monthly,Lapsed,CUST85120425,2002,<6 years
POL30200147,Life,276767,660.18,44746,48384,Annually,Active,CUST55837978,3638,>8yrs
POL32552913,Property,456557,846.03,43544,45899,Quarterly,Lapsed,CUST38923831,2355,<8 years
POL35209226,Auto,92652,142.47,44927,46459,Monthly,Lapsed,CUST58439547,1532,<6 years
POL51049013,Life,251162,688.07,42726,45005,Monthly,Terminated,CUST24079117,2279,<8 years
POL79914241,Auto,176907,1849.05,43254,44359,Monthly,Terminated,CUST96653745,1105,<4 years
POL63077295,Health,334854,582.68,44888,46622,Quarterly,Terminated,CUST31891472,1734,<6 years
POL19274658,Property,483238,1259.72,42743,46377,Annually,Terminated,CUST15254113,3634,>8yrs
POL28043223,Auto,163477,310.86,44716,47107,Quarterly,Active,CUST53206356,2391,<8 years
POL43343233,Life,168658,1725.78,42489,45685,Annually,Terminated,CUST02447950,3196,>8yrs
POL02336146,Health,257448,994.07,44664,46597,Monthly,Terminated,CUST79910497,1933,<6 years
POL01239814,Auto,357404,1184.12,42167,45203,Annually,Active,CUST91867775,3036,>8yrs
POL64805692,Health,49415,1483.23,43236,44825,Annually,Terminated,CUST94119943,1589,<6 years
POL79704681,Auto,290735,811.42,42727,43925,Annually,Terminated,CUST68517617,1198,<4 years
POL77826609,Life,345291,1580.02,43301,44300,Quarterly,Lapsed,CUST71284835,999,<4 years
POL06037561,Life,314600,1751.73,45596,46565,Quarterly,Lapsed,CUST27130653,969,<4 years
POL50239325,Health,33623,1174.4,44082,45401,Annually,Active,CUST04086033,1319,<4 years
POL83266915,Auto,411525,1526.83,45559,47103,Monthly,Terminated,CUST70562742,1544,<6 years
POL18867984,Auto,363978,1327.53,45596,48722,Monthly,Terminated,CUST32764229,3126,>8yrs
POL50802042,Life,213344,1212.56,43836,45679,Quarterly,Lapsed,CUST54795828,1843,<6 years
POL76748109,Auto,140627,465.01,43784,44264,Monthly,Lapsed,CUST78885562,480,<2 years
POL48874486,Life,392394,469.83,42036,44729,Annually,Active,CUST33244265,2693,<8 years
POL91116374,Property,86485,1903.93,42679,46067,Annually,Active,CUST09709314,3388,>8yrs
POL91686015,Property,486630,175.56,43174,45306,Quarterly,Active,CUST55738104,2132,<6 years
POL13029856,Health,226087,1328.37,45270,48429,Quarterly,Lapsed,CUST28568796,3159,>8yrs
POL28573734,Auto,381377,221.67,44559,46081,Monthly,Active,CUST39886299,1522,<6 years
POL90664485,Auto,147224,1777.44,42559,44966,Quarterly,Lapsed,CUST62519479,2407,<8 years
POL25630495,Health,24442,933.89,42778,44497,Annually,Lapsed,CUST03591575,1719,<6 years
POL58909677,Property,400332,106.67,44987,48164,Monthly,Active,CUST29405035,3177,>8yrs
POL21300763,Health,101006,741.17,44695,47917,Monthly,Terminated,CUST42357086,3222,>8yrs
POL27708077,Health,74443,1851.28,43004,46205,Annually,Active,CUST25851292,3201,>8yrs
POL97831639,Property,250730,717,45056,48419,Quarterly,Lapsed,CUST99294379,3363,>8yrs
POL66952651,Life,202161,305.52,43257,44574,Quarterly,Lapsed,CUST37934673,1317,<4 years
POL36273981,Health,424309,1346.48,44689,46638,Annually,Terminated,CUST70375510,1949,<6 years
POL34621999,Health,484208,1018.8,45109,46357,Monthly,Lapsed,CUST03769712,1248,<4 years
POL72333651,Auto,19652,1431.27,42716,46352,Annually,Terminated,CUST59559298,3636,>8yrs
POL60474745,Auto,204488,1189.7,44863,48293,Monthly,Terminated,CUST50443721,3430,>8yrs
POL48632113,Auto,345863,873.18,42783,43814,Quarterly,Active,CUST63958064,1031,<4 years
POL95138693,Property,496597,1516.77,42039,43009,Annually,Lapsed,CUST40389603,970,<4 years
POL55883370,Property,91037,623.37,42098,43685,Quarterly,Terminated,CUST01863550,1587,<6 years
POL45719981,Health,173662,1135.27,44371,46228,Annually,Terminated,CUST97609761,1857,<6 years
POL49483988,Auto,55748,330.03,44467,45450,Annually,Active,CUST75662303,983,<4 years
POL01860747,Property,432018,889.86,43315,45577,Quarterly,Terminated,CUST69145217,2262,<8 years
POL49959847,Auto,221447,562.4,43177,44092,Quarterly,Active,CUST29828643,915,<4 years
POL69437529,Health,287646,1028.56,43803,45906,Quarterly,Terminated,CUST01590733,2103,<6 years
POL71731028,Life,465909,1123.29,42429,43788,Monthly,Terminated,CUST82593555,1359,<4 years
POL22702092,Auto,231419,754.5,44749,47434,Annually,Terminated,CUST00277838,2685,<8 years
POL21489269,Life,441413,211.68,44558,47330,Quarterly,Lapsed,CUST42144401,2772,<8 years
POL45984534,Health,375417,971.47,44002,45726,Monthly,Lapsed,CUST47660840,1724,<6 years
POL21893654,Auto,45606,879.41,45344,46342,Annually,Terminated,CUST86116437,998,<4 years
POL88802098,Auto,273960,479.65,45148,46241,Quarterly,Active,CUST51519356,1093,<4 years
POL47409156,Health,264789,1905.54,43823,46149,Annually,Active,CUST73828464,2326,<8 years
POL12333540,Health,46816,1668.53,44409,47221,Annually,Terminated,CUST21128128,2812,<8 years
POL97112066,Auto,343290,1056.55,45508,47294,Quarterly,Active,CUST83206040,1786,<6 years
POL83318258,Health,85187,1452.71,45379,47759,Monthly,Active,CUST09191986,2380,<8 years
POL98060005,Life,239992,1403.26,45354,47021,Annually,Active,CUST08620277,1667,<6 years
POL54140134,Auto,101121,1043.2,44590,48066,Monthly,Lapsed,CUST04695158,3476,>8yrs
POL68523270,Auto,232985,551.03,44969,47840,Quarterly,Active,CUST88220946,2871,<8 years
POL24523489,Life,185550,119.84,44207,47757,Annually,Terminated,CUST86360336,3550,>8yrs
POL63559916,Auto,293991,1559.1,45297,46735,Quarterly,Lapsed,CUST32620909,1438,<4 years
POL04817251,Health,315961,1371.88,45631,47820,Annually,Lapsed,CUST50159026,2189,<6 years
POL16158469,Property,291697,162.3,43802,45363,Quarterly,Active,CUST08745607,1561,<6 years
POL70411495,Auto,333007,1773.53,45625,46827,Annually,Terminated,CUST49016326,1202,<4 years
POL04317062,Life,184280,264.53,45378,47670,Quarterly,Lapsed,CUST72652198,2292,<8 years
POL65664761,Health,289837,244.93,45296,48167,Quarterly,Lapsed,CUST42907501,2871,<8 years
POL97107834,Auto,106213,1088.26,43355,45552,Annually,Lapsed,CUST25095128,2197,<8 years
POL54636114,Life,135480,1918.9,44227,46538,Annually,Lapsed,CUST75884494,2311,<8 years
POL46770635,Auto,42831,269.51,42081,42612,Annually,Active,CUST63224514,531,<2 years
POL31689204,Property,74092,1563.36,42302,44974,Quarterly,Terminated,CUST50829047,2672,<8 years
POL01562531,Health,80311,780.75,45480,46495,Monthly,Active,CUST41801829,1015,<4 years
POL05208106,Auto,409481,162.41,42587,43513,Annually,Terminated,CUST90806547,926,<4 years
POL82154213,Auto,403717,1963.57,42052,42544,Quarterly,Terminated,CUST02892033,492,<2 years
POL93979639,Auto,249856,1824.69,42364,43854,Monthly,Active,CUST25235794,1490,<6 years
POL42360341,Property,494603,1737.08,45454,48747,Quarterly,Active,CUST37286375,3293,>8yrs
POL06836904,Health,194085,1037.14,43460,46084,Quarterly,Lapsed,CUST18040436,2624,<8 years
POL56668614,Health,216613,801.06,44957,48424,Annually,Active,CUST71549116,3467,>8yrs
POL30563403,Health,344108,890.14,42674,43885,Quarterly,Active,CUST03785984,1211,<4 years
POL99360572,Health,440794,861.52,43795,44678,Monthly,Terminated,CUST86176694,883,<4 years
POL34787590,Auto,398931,1916.87,44586,47629,Quarterly,Lapsed,CUST82342677,3043,>8yrs
POL87094510,Health,193514,324.05,42706,44292,Monthly,Lapsed,CUST89973347,1586,<6 years
POL39823507,Auto,410538,1015.17,45210,47746,Annually,Lapsed,CUST69530630,2536,<8 years
POL27805496,Auto,227002,275.18,42332,44651,Annually,Active,CUST48697725,2319,<8 years
POL75285626,Property,229938,957.72,45015,48610,Quarterly,Terminated,CUST38324332,3595,>8yrs
POL33045617,Auto,220956,288.63,44052,47084,Annually,Terminated,CUST87912840,3032,>8yrs
POL43978572,Health,327057,1405.9,44228,44780,Annually,Active,CUST14150053,552,<2 years
POL97172919,Property,126771,1118.25,44339,46909,Quarterly,Active,CUST61113978,2570,<8 years
POL57660624,Auto,81928,1967.27,43468,47067,Quarterly,Lapsed,CUST84444696,3599,>8yrs
POL97141577,Property,175514,1004.72,45641,47366,Monthly,Lapsed,CUST79853995,1725,<6 years
POL72882206,Property,404422,858.64,42668,43153,Annually,Terminated,CUST05834498,485,<2 years
POL18209726,Property,445308,725.37,42064,44164,Annually,Active,CUST90453067,2100,<6 years
POL13830672,Property,232447,1800.99,45301,48491,Monthly,Lapsed,CUST70814033,3190,>8yrs
POL47058325,Life,221931,436.6,45158,47495,Annually,Active,CUST10638398,2337,<8 years
POL81166647,Health,239272,758.71,42462,43105,Annually,Active,CUST57771662,643,<2 years
POL38243316,Property,55791,459.16,45186,45939,Monthly,Active,CUST10072038,753,<4 years
POL54451854,Auto,68103,1196.35,44503,47283,Annually,Terminated,CUST86319543,2780,<8 years
POL82263236,Health,367230,1168.47,44245,45536,Annually,Terminated,CUST64402425,1291,<4 years
POL90131284,Life,318411,786.87,45435,46076,Quarterly,Lapsed,CUST12138426,641,<2 years
POL26293582,Life,155031,499.26,42778,45930,Quarterly,Terminated,CUST93980968,3152,>8yrs
POL78678051,Property,476410,269.28,44970,47655,Annually,Active,CUST00931814,2685,<8 years
POL47598430,Property,26158,1570.05,45421,45904,Quarterly,Active,CUST07975719,483,<2 years
POL81442858,Health,375571,1988.32,42779,46056,Monthly,Lapsed,CUST94694770,3277,>8yrs
POL55191578,Health,434502,157.38,44217,45296,Monthly,Lapsed,CUST44886949,1079,<4 years
POL27120331,Health,265186,612.64,43897,47383,Monthly,Active,CUST66760762,3486,>8yrs
POL07162543,Auto,51832,1077.26,42718,43330,Monthly,Active,CUST24817468,612,<2 years
POL95376981,Property,483726,759.62,45643,48472,Quarterly,Active,CUST80620284,2829,<8 years
POL52820408,Auto,271449,1752.52,44305,46096,Monthly,Terminated,CUST02597184,1791,<6 years
POL19547939,Auto,428483,1282.64,43134,45029,Monthly,Terminated,CUST81461842,1895,<6 years
POL68111520,Health,99188,274.16,44474,46829,Monthly,Active,CUST84535664,2355,<8 years
POL36499322,Auto,102740,328.55,44028,46895,Monthly,Active,CUST81795137,2867,<8 years
POL32150481,Life,241414,1278.33,43575,46490,Annually,Terminated,CUST78772723,2915,<8 years
POL88380542,Life,147408,1688.01,43926,44845,Monthly,Terminated,CUST35180038,919,<4 years
POL80647168,Property,120453,1831.12,43597,46656,Monthly,Active,CUST30512637,3059,>8yrs
POL38987416,Health,42350,664.09,44570,47054,Monthly,Active,CUST29662093,2484,<8 years
POL00083014,Life,202142,152.98,44441,46557,Quarterly,Terminated,CUST40516075,2116,<6 years
POL31461864,Life,344602,135.38,43904,46099,Annually,Terminated,CUST63054181,2195,<8 years
POL54483538,Auto,116896,1572.59,42635,44183,Quarterly,Terminated,CUST44342472,1548,<6 years
POL81378407,Property,150335,1598.5,42639,45967,Quarterly,Active,CUST78637134,3328,>8yrs
POL61308425,Property,420245,1942.6,45240,47706,Monthly,Terminated,CUST79016088,2466,<8 years
POL38013131,Auto,41991,1790.2,44564,46859,Monthly,Terminated,CUST67038482,2295,<8 years
POL05346323,Life,377821,469.6,45402,48055,Monthly,Lapsed,CUST09841369,2653,<8 years
POL64258389,Health,140119,1024.26,45490,47635,Monthly,Active,CUST28357312,2145,<6 years
POL17357252,Property,18996,956.31,42319,45652,Annually,Active,CUST48850257,3333,>8yrs
POL34904099,Health,272809,1124.44,43994,46086,Annually,Terminated,CUST27766368,2092,<6 years
POL72738203,Property,390280,149.66,42995,44872,Quarterly,Terminated,CUST89789123,1877,<6 years
POL70954405,Life,374009,632.62,43708,44262,Monthly,Terminated,CUST31880004,554,<2 years
POL51543894,Life,380943,939.87,45324,48478,Annually,Lapsed,CUST13550777,3154,>8yrs
POL80620404,Life,235410,1802.02,44349,47189,Annually,Active,CUST44465471,2840,<8 years
POL91781501,Auto,395542,1061.48,45429,46512,Annually,Terminated,CUST28258809,1083,<4 years
POL32483993,Property,420010,385.29,43098,45130,Quarterly,Lapsed,CUST85782454,2032,<6 years
POL24708378,Property,480930,1670.95,42390,44405,Monthly,Lapsed,CUST91731661,2015,<6 years
POL16494384,Life,135597,665.39,43429,46150,Quarterly,Active,CUST99752125,2721,<8 years
POL16772067,Property,419673,633.32,44393,45872,Annually,Terminated,CUST14765095,1479,<6 years
POL43083313,Property,441767,110.3,45105,47454,Annually,Active,CUST46531153,2349,<8 years
POL49745850,Life,275830,297.7,42994,46280,Quarterly,Active,CUST34620167,3286,>8yrs
POL32270366,Auto,413253,1998.45,44313,45094,Quarterly,Terminated,CUST85393599,781,<4 years
POL76043297,Life,244348,1235.85,43393,46045,Quarterly,Terminated,CUST54690850,2652,<8 years
POL60143824,Property,184518,451.76,42637,45818,Annually,Active,CUST49025513,3181,>8yrs
POL97550763,Property,376780,917.23,43374,46333,Quarterly,Lapsed,CUST99491156,2959,>8yrs
POL97742612,Health,214878,1410.03,42267,45255,Quarterly,Lapsed,CUST19037538,2988,>8yrs
POL64302284,Life,356682,268.56,44896,47526,Quarterly,Terminated,CUST13120356,2630,<8 years
POL56785706,Health,55923,1131.35,42837,45933,Monthly,Terminated,CUST32846580,3096,>8yrs
POL80161505,Health,493849,838.25,43058,44136,Annually,Active,CUST04000203,1078,<4 years
POL49730272,Health,445568,131.14,42000,44463,Monthly,Terminated,CUST78820833,2463,<8 years
POL48692889,Property,412837,186.64,43339,45697,Annually,Terminated,CUST81231769,2358,<8 years
POL59708414,Property,173862,796.34,44520,46001,Quarterly,Active,CUST23310336,1481,<6 years
POL12912083,Health,170586,1546.55,44360,47259,Annually,Active,CUST46066510,2899,<8 years
POL77831101,Life,252855,302.5,42541,43292,Annually,Lapsed,CUST68626692,751,<4 years
POL13181341,Auto,253055,1559.22,44400,44890,Quarterly,Terminated,CUST36567638,490,<2 years
POL28786930,Health,322411,1005.36,45193,48801,Annually,Active,CUST66940113,3608,>8yrs
POL84549394,Life,476816,1895.29,42101,42908,Annually,Active,CUST79911540,807,<4 years
POL10704502,Life,387265,1955.95,44627,45826,Annually,Lapsed,CUST72770326,1199,<4 years
POL38732884,Auto,224029,654.53,43400,46531,Annually,Lapsed,CUST28036132,3131,>8yrs
POL75720719,Property,217324,1178.78,44733,47528,Quarterly,Terminated,CUST60321460,2795,<8 years
POL26162057,Property,498524,1926.13,45547,46637,Monthly,Terminated,CUST38042136,1090,<4 years
POL75089142,Health,171074,1616.33,44046,46816,Quarterly,Lapsed,CUST61439560,2770,<8 years
POL66183736,Life,60223,675.97,44421,45799,Monthly,Lapsed,CUST05450712,1378,<4 years
POL62525398,Property,154435,1893.11,44722,46081,Quarterly,Terminated,CUST37913516,1359,<4 years
POL28794187,Auto,357459,1979.12,44343,45901,Annually,Active,CUST81990768,1558,<6 years
POL92222297,Life,335760,716.72,43105,45875,Quarterly,Terminated,CUST91620963,2770,<8 years
POL01033936,Health,49582,1063.3,42136,45258,Monthly,Terminated,CUST24118417,3122,>8yrs
POL76374292,Life,209384,1635,45414,47228,Monthly,Active,CUST52047636,1814,<6 years
POL87664346,Health,457671,858.11,42518,44993,Monthly,Active,CUST92413522,2475,<8 years
POL62189642,Health,250248,1596.32,44107,45809,Monthly,Terminated,CUST01201519,1702,<6 years
POL60737583,Life,436656,260.41,42101,42717,Quarterly,Active,CUST64207063,616,<2 years
POL95387029,Life,461997,1328.99,42260,42649,Annually,Terminated,CUST03009511,389,<2 years
POL32733098,Auto,312144,322.6,42934,45833,Monthly,Active,CUST75677412,2899,<8 years
POL77019254,Auto,256949,1429.6,43510,46447,Annually,Terminated,CUST18606913,2937,>8yrs
POL02597557,Life,311114,1853.48,45136,48779,Monthly,Terminated,CUST56082389,3643,>8yrs
POL45321254,Life,334368,870.18,45444,47985,Quarterly,Lapsed,CUST34079657,2541,<8 years
POL24753734,Auto,268269,934.18,45330,46327,Annually,Terminated,CUST86185759,997,<4 years
POL21924883,Property,470195,1378.18,45247,45658,Annually,Active,CUST04029713,411,<2 years
POL45105855,Auto,291122,1455.42,44028,45983,Annually,Terminated,CUST37708358,1955,<6 years
POL53613913,Auto,400186,1271.19,42708,45088,Quarterly,Active,CUST19737564,2380,<8 years
POL22302710,Auto,104109,1110.15,45043,46487,Quarterly,Terminated,CUST00457976,1444,<4 years
POL37452247,Health,488822,574.72,45477,48622,Monthly,Active,CUST45887020,3145,>8yrs
POL67279435,Property,313685,864.7,43329,46091,Monthly,Active,CUST55395846,2762,<8 years
POL61218156,Property,339225,1875.95,43344,44811,Quarterly,Terminated,CUST05685909,1467,<6 years
POL38619975,Property,216739,122.36,42591,46225,Quarterly,Terminated,CUST12281036,3634,>8yrs
POL88503599,Property,289085,488.67,45472,47944,Annually,Lapsed,CUST24435883,2472,<8 years
POL69041241,Property,214993,389.54,42472,45021,Quarterly,Active,CUST37261327,2549,<8 years
POL46495596,Health,279346,1774.55,43661,47013,Monthly,Lapsed,CUST71267407,3352,>8yrs
POL34251194,Auto,405303,565.18,44706,47191,Annually,Active,CUST75793791,2485,<8 years
POL77104949,Life,296843,632.57,44978,48213,Annually,Lapsed,CUST14877396,3235,>8yrs
POL40125720,Health,407110,1228.02,42608,45324,Quarterly,Active,CUST57815971,2716,<8 years
POL63626262,Auto,20097,1334.1,44256,47510,Annually,Lapsed,CUST66017391,3254,>8yrs
POL74568057,Auto,171483,640.63,45393,46752,Annually,Lapsed,CUST99661721,1359,<4 years
POL52774850,Auto,139461,555.77,42629,45509,Quarterly,Active,CUST16021924,2880,<8 years
POL17282682,Life,136145,1233.34,45408,45957,Annually,Active,CUST94142986,549,<2 years
POL81122472,Life,362330,997.75,45239,46851,Monthly,Active,CUST52700712,1612,<6 years
POL39104228,Life,306200,509.74,44151,45779,Monthly,Lapsed,CUST50637961,1628,<6 years
POL39650167,Property,357244,1237.98,44631,48112,Annually,Lapsed,CUST48026120,3481,>8yrs
POL76903743,Health,115205,1541.49,45088,46180,Quarterly,Terminated,CUST30108387,1092,<4 years
POL82111920,Property,243381,148.96,42087,43433,Annually,Active,CUST28917499,1346,<4 years
POL39805762,Health,167087,550.32,45011,47126,Quarterly,Terminated,CUST85589913,2115,<6 years
POL50354765,Auto,492655,1055.39,44807,47407,Monthly,Active,CUST08450980,2600,<8 years
POL61924951,Auto,262390,660.41,42626,45848,Monthly,Terminated,CUST20225726,3222,>8yrs
POL48511316,Auto,111882,894.53,43143,45286,Annually,Terminated,CUST30476742,2143,<6 years
POL51366884,Health,151784,589.75,43642,45810,Annually,Terminated,CUST48173143,2168,<6 years
POL46853221,Health,154487,273.75,45470,47144,Quarterly,Active,CUST69457285,1674,<6 years
POL03944211,Property,15972,1004.52,42283,44423,Monthly,Lapsed,CUST94332597,2140,<6 years
POL15004770,Life,304826,228.79,43480,46107,Quarterly,Lapsed,CUST20309690,2627,<8 years
POL04951844,Health,187358,1926.98,45568,48047,Monthly,Active,CUST40987292,2479,<8 years
POL38588789,Property,78399,822.81,42059,45696,Quarterly,Lapsed,CUST27802022,3637,>8yrs
POL82419107,Auto,90148,1778.29,42379,45264,Annually,Active,CUST27928402,2885,<8 years
POL33737447,Auto,50576,1716.88,45374,47085,Monthly,Active,CUST54795828,1711,<6 years
POL64767382,Property,246411,185.75,44079,46228,Annually,Active,CUST69019373,2149,<6 years
POL23594772,Health,37049,1979.52,44684,48193,Monthly,Terminated,CUST86615154,3509,>8yrs
POL94518815,Property,453532,1021.59,44661,47756,Quarterly,Active,CUST89988266,3095,>8yrs
POL37985546,Auto,441924,1923.86,43614,46246,Monthly,Active,CUST90005709,2632,<8 years
POL95836164,Auto,439637,947.28,43527,45091,Annually,Lapsed,CUST75237860,1564,<6 years
POL41393239,Property,303838,1083.91,43852,44991,Monthly,Terminated,CUST45479654,1139,<4 years
POL95244165,Life,192291,378.41,45628,48101,Quarterly,Lapsed,CUST86814379,2473,<8 years
POL63274681,Health,137139,1183.17,42290,45935,Quarterly,Lapsed,CUST56689353,3645,>8yrs
POL97969575,Life,169345,1068.99,42597,43437,Monthly,Active,CUST78057650,840,<4 years
POL33330579,Auto,485212,1025.38,44024,46210,Quarterly,Terminated,CUST91459619,2186,<6 years
POL82251135,Health,173816,1571.12,43699,45568,Quarterly,Lapsed,CUST94135201,1869,<6 years
POL93411965,Life,139710,1578.89,45557,48377,Quarterly,Lapsed,CUST81601074,2820,<8 years
POL22177049,Health,250750,751.5,42527,43642,Annually,Terminated,CUST61371484,1115,<4 years
POL02585077,Auto,130822,1280.08,43009,43916,Annually,Active,CUST63815413,907,<4 years
POL01267201,Life,224911,1213.24,44423,47704,Monthly,Active,CUST19390619,3281,>8yrs
POL45899805,Auto,360216,1310.98,45115,46418,Quarterly,Terminated,CUST24185675,1303,<4 years
POL76517809,Auto,493834,586.96,42994,45701,Monthly,Active,CUST31962963,2707,<8 years
POL88210682,Life,287990,531.81,44182,47480,Annually,Active,CUST35741824,3298,>8yrs
POL85021281,Health,488912,1506.96,44953,46214,Monthly,Lapsed,CUST69103964,1261,<4 years
POL81192447,Health,448351,305.16,44851,47091,Monthly,Active,CUST92381290,2240,<8 years
POL75206437,Property,307267,934.68,44644,47560,Annually,Active,CUST87543401,2916,<8 years
POL49763923,Health,279073,1684.29,45260,46282,Quarterly,Lapsed,CUST24587752,1022,<4 years
POL10008915,Property,30683,1536.77,42004,44632,Annually,Active,CUST81424332,2628,<8 years
POL02313500,Auto,466951,1831.42,45103,47813,Quarterly,Terminated,CUST13466437,2710,<8 years
POL09750798,Property,422933,124.22,42668,45219,Monthly,Lapsed,CUST97654101,2551,<8 years
POL36666009,Property,395884,1737.91,43067,44848,Annually,Lapsed,CUST00150301,1781,<6 years
POL96855506,Property,372430,1090.82,45118,45828,Quarterly,Terminated,CUST36148354,710,<2 years
POL71516749,Health,410794,1725.84,44285,46903,Annually,Lapsed,CUST85581495,2618,<8 years
POL95480869,Property,476330,503.18,45179,47341,Annually,Terminated,CUST34007755,2162,<6 years
POL46131890,Life,36237,1482.65,42765,45572,Annually,Terminated,CUST06656632,2807,<8 years
POL64900151,Auto,68167,372.41,44488,47409,Annually,Active,CUST38688913,2921,>8yrs
POL42034856,Auto,58538,796.73,44322,45406,Quarterly,Terminated,CUST61552560,1084,<4 years
POL60897326,Health,434814,1588.93,43204,44623,Annually,Lapsed,CUST97800780,1419,<4 years
POL38380842,Health,67547,652.7,43009,45750,Monthly,Active,CUST79329107,2741,<8 years
POL51145073,Auto,329979,658.1,44652,45910,Quarterly,Terminated,CUST45848469,1258,<4 years
POL73019543,Life,485482,1009.98,42168,45619,Monthly,Active,CUST10202721,3451,>8yrs
