Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID,Claim Settlement Days,Claim Settlement Buckets
CLM37236202,45519,10248,Denied,Staff next movie page drop.,45562,POL41037493,43,<60 Days
CLM51134239,45026,86284,Pending,Fast team dark century strategy hit.,45077,POL82137065,51,<60 Days
CLM36331542,45627,47685,Pending,Seek send believe western chair usually.,,POL90934498,0,Not Settled
CLM68935390,44384,4745,Approved,Gas black evidence.,,POL83133699,0,Not Settled
CLM05192558,44970,64302,Approved,Own would fire.,,POL01761052,0,Not Settled
CLM34252551,44122,48742,Approved,Give computer keep form research despite.,,POL08643765,0,Not Settled
CLM82206005,44416,48335,Pending,Adult conference safe poor its industry coach.,,POL25617891,0,Not Settled
CLM25855066,44443,78981,Pending,Economy whose same miss national.,44496,POL08689656,53,<60 Days
CLM66661573,44892,85396,Denied,Simply charge partner poor with.,44972,POL64120254,80,<90 Days
CLM79682557,44739,91925,Denied,Often bring five.,44803,POL45114954,64,<90 Days
CLM70589989,44640,38297,Approved,Wonder piece wait look true no remember if.,44727,POL63517748,87,<90 Days
CLM31815501,44668,66148,Pending,Several produce class customer alone.,44748,POL91259489,80,<90 Days
CLM63185712,44533,12659,Approved,Former table finish boy single practice.,44586,POL39463277,53,<60 Days
CLM23146150,45283,65025,Pending,Education shoulder hand father production order choice.,45310,POL75706298,27,<30 Days
CLM01553708,45470,66661,Approved,Sound be certainly fly picture space.,45495,POL33049382,25,<30 Days
CLM66074257,45636,7273,Denied,Sound that operation avoid morning their.,,POL63440106,0,Not Settled
CLM50724959,45515,4529,Denied,Simple other role not.,45605,POL59354713,90,<90 Days
CLM33888157,44174,54069,Pending,Response it six realize doctor.,,POL77625425,0,Not Settled
CLM51474654,45035,10870,Pending,Staff carry address.,45084,POL18831547,49,<60 Days
CLM93171228,45592,67443,Approved,Theory window see soon.,45629,POL24534591,37,<60 Days
CLM43392789,43872,4636,Denied,Natural tell whole scientist why weight receive.,43900,POL54483538,28,<30 Days
CLM88894585,44127,11566,Approved,One foreign space whether mother.,44185,POL55300155,58,<60 Days
CLM07858710,45362,23913,Denied,Kitchen talk throw.,45381,POL82812319,19,<30 Days
CLM97170433,44408,23354,Approved,Prevent we project hit oil church.,44429,POL33244868,21,<30 Days
CLM31270051,44704,94795,Approved,Name any option into western final.,44744,POL74496346,40,<60 Days
CLM82267397,44269,11923,Pending,Push finally hair.,44284,POL18917162,15,<30 Days
CLM25622565,45315,20013,Denied,Would level despite imagine.,45391,POL98789630,76,<90 Days
CLM64484686,45068,6157,Approved,Our full outside policy.,45147,POL47427298,79,<90 Days
CLM38705286,44232,63821,Denied,Camera start really benefit risk security article.,,POL76589663,0,Not Settled
CLM23146923,45127,19885,Approved,Top center exist action.,,POL12935594,0,Not Settled
CLM24301039,44139,47975,Denied,While character eat expect.,,POL55835566,0,Not Settled
CLM15657898,44676,98275,Denied,Act others many weight.,44721,POL91241306,45,<60 Days
CLM64734849,44922,7732,Approved,South detail energy somebody coach.,,POL10073827,0,Not Settled
CLM93105620,44199,25294,Denied,Event fund less country special.,44215,POL43123760,16,<30 Days
CLM64154491,43950,4473,Pending,These series movement international toward change movie yard.,43978,POL45095642,28,<30 Days
CLM33798304,45186,28593,Denied,Newspaper season me.,45208,POL81122472,22,<30 Days
CLM14944933,44088,96104,Pending,Instead hit field manager difference face will.,,POL95405693,0,Not Settled
CLM95099823,44045,65503,Pending,Him book heart still.,,POL20670070,0,Not Settled
CLM39666392,44479,65199,Pending,Ball not yet get apply.,44495,POL84424949,16,<30 Days
CLM25529207,44475,80432,Denied,Imagine seat friend office it.,44527,POL56083774,52,<60 Days
CLM45018730,44273,92471,Approved,Rule memory around international building national.,44314,POL50239325,41,<60 Days
CLM16989357,44015,62441,Pending,Able attention our change section rock usually already.,,POL66167857,0,Not Settled
CLM73336882,45486,84687,Approved,Possible water guess million.,,POL44119689,0,Not Settled
CLM98110295,44210,44110,Denied,Community dog join brother.,44274,POL91286503,64,<90 Days
CLM49151950,45302,42149,Denied,Measure partner professor real trouble enter western president.,,POL83969664,0,Not Settled
CLM62334592,44776,8683,Denied,Expert near owner.,,POL76937321,0,Not Settled
CLM80481592,44981,48644,Approved,Hear rock only lot government.,,POL67864663,0,Not Settled
CLM18445476,45605,40588,Approved,Discussion up power almost number stock.,45672,POL46902142,67,<90 Days
CLM97556463,44626,15742,Denied,Camera son book station.,44704,POL07053909,78,<90 Days
CLM19729557,45130,64025,Approved,Now happen head church card knowledge information bill.,,POL13345815,0,Not Settled
CLM84451676,45192,68238,Pending,Recent lay cover piece.,45212,POL28741464,20,<30 Days
CLM84128413,44635,55285,Approved,Mrs wide team successful nor southern point.,44671,POL44119689,36,<60 Days
CLM06827999,44991,6445,Denied,Something than financial story hand school sense.,45043,POL26162057,52,<60 Days
CLM14476789,45525,23812,Pending,When arrive most number southern blue.,,POL82697180,0,Not Settled
CLM87197887,44351,40772,Denied,Pretty east way year.,,POL83865881,0,Not Settled
CLM08548633,45215,4853,Denied,Air action student interest sport purpose nice.,45246,POL47222103,31,<60 Days
CLM84184946,44208,16314,Pending,Draw man everything.,44241,POL08713900,33,<60 Days
CLM14231438,43975,46423,Approved,Himself whose news above.,43999,POL25794151,24,<30 Days
CLM99725726,44212,69020,Approved,Paper only approach interest spring floor.,44302,POL55324239,90,<90 Days
CLM18817051,44893,68606,Approved,Newspaper result resource serve contain.,44935,POL83258516,42,<60 Days
CLM35350732,44050,3221,Approved,Almost sometimes front charge.,44077,POL47598430,27,<30 Days
CLM53033405,44516,1019,Pending,White cup question degree glass.,,POL84868487,0,Not Settled
CLM96823987,44062,6123,Denied,Wear kid economic attorney fear because.,44105,POL32483993,43,<60 Days
CLM54164215,45594,24621,Approved,Blue third head full agency.,45661,POL56971563,67,<90 Days
CLM00908849,45511,61276,Denied,Opportunity treatment record trip.,,POL35996382,0,Not Settled
CLM26400767,44900,34209,Approved,Glass southern number include.,44935,POL15506424,35,<60 Days
CLM69965519,45185,37082,Approved,Development get process key ago.,45248,POL00464071,63,<90 Days
CLM94436319,45411,12128,Approved,Really for bank large season pull everyone.,,POL69091266,0,Not Settled
CLM01927554,45605,40649,Denied,Something rule want piece leader try.,45692,POL06557000,87,<90 Days
CLM77659439,44945,22381,Approved,Nearly seat social significant cultural president.,44972,POL24718635,27,<30 Days
CLM04866071,44567,75236,Approved,Quality management decision focus remain.,,POL22280600,0,Not Settled
CLM66373910,44346,45616,Pending,Something collection staff.,44427,POL66670427,81,<90 Days
CLM24028490,45178,52527,Pending,Food open off leader early.,,POL59492840,0,Not Settled
CLM79556342,45098,38200,Approved,Defense same little.,45139,POL28972573,41,<60 Days
CLM03896789,45223,2650,Approved,Receive week wonder sure remember move personal.,45291,POL52513124,68,<90 Days
CLM08781892,44788,28863,Approved,Cause number fill manage nearly bill during.,,POL73952203,0,Not Settled
CLM04467612,44766,45246,Approved,Half two one with.,44828,POL21535465,62,<90 Days
CLM36598504,45314,68313,Denied,Recently nation space participant star religious return baby.,45328,POL66183736,14,<30 Days
CLM81172238,44184,92514,Pending,Really modern crime building least.,44197,POL40589612,13,<30 Days
CLM45229692,45098,35900,Approved,From dark add near.,45119,POL22240017,21,<30 Days
CLM72320154,44277,9367,Denied,Side start look avoid month little.,,POL45440962,0,Not Settled
CLM53559340,44274,13087,Approved,Page other necessary interview be.,,POL12315723,0,Not Settled
CLM11227242,45085,77868,Denied,Her late approach never.,45145,POL07501738,60,<60 Days
CLM92000440,43933,73993,Pending,Strong including agent especially.,44014,POL56896530,81,<90 Days
CLM14179031,45083,24121,Approved,Ready view ever win often exactly.,45143,POL71161359,60,<60 Days
CLM91626670,43852,93566,Approved,Once fish adult then call.,43896,POL61367355,44,<60 Days
CLM03392061,44250,34191,Pending,Third two single list follow.,,POL70933310,0,Not Settled
CLM48859408,44193,6786,Approved,Deep tree arrive blue one herself six.,44247,POL32900389,54,<60 Days
CLM93694398,43981,57557,Approved,One morning room statement season.,44041,POL91660793,60,<60 Days
CLM06055217,45608,21471,Pending,Those want PM heart assume.,45687,POL65862653,79,<90 Days
CLM82195046,45605,63934,Pending,Mention hear piece worker deep.,45630,POL67872849,25,<30 Days
CLM90159349,44686,56083,Approved,People company thought able rich certainly.,44740,POL27219888,54,<60 Days
CLM30204139,45025,19038,Pending,Purpose walk member around child system.,45058,POL43112527,33,<60 Days
CLM01905743,45154,11069,Denied,Together dog man general.,,POL61326572,0,Not Settled
CLM37903260,44481,13072,Denied,Situation according adult owner.,44569,POL86063737,88,<90 Days
CLM82249469,44356,79591,Denied,Body attack improve note heart western.,44401,POL37985546,45,<60 Days
CLM27341335,44501,30681,Approved,Win sing only media impact car.,44582,POL20995178,81,<90 Days
CLM09810485,44942,74332,Approved,Teacher trouble scientist form whole find.,,POL07837542,0,Not Settled
CLM22613908,44460,17380,Denied,Challenge her live full fly available sit.,44489,POL86285298,29,<30 Days
CLM68878012,44113,1393,Approved,Stay painting economic course source.,44134,POL17396373,21,<30 Days
CLM54306007,45626,58167,Denied,Establish color agree floor interview from.,,POL40611534,0,Not Settled
CLM81789009,43972,41683,Approved,Likely television consumer two good step.,44044,POL77104949,72,<90 Days
CLM08365170,45580,25683,Denied,Character international data change find.,45636,POL39100560,56,<60 Days
CLM87225208,45600,21877,Pending,Really pick forward sit role interest everyone score.,45657,POL29305592,57,<60 Days
CLM65090828,44978,91713,Pending,Expert whole try performance.,45005,POL46460942,27,<30 Days
CLM53962419,44598,15646,Denied,Best blood gas evening item add alone.,,POL67696228,0,Not Settled
CLM37200890,44376,93642,Pending,Much black test again travel pass.,44401,POL92010970,25,<30 Days
CLM82823276,45336,18723,Approved,Lot audience writer section class trial kitchen.,45424,POL33725370,88,<90 Days
CLM26013917,44900,41484,Denied,Popular far car clear front activity.,,POL32198260,0,Not Settled
CLM87454106,44854,58527,Pending,Against prepare economy focus society.,44868,POL34664875,14,<30 Days
CLM51534455,43861,82562,Denied,Issue weight particular.,,POL69162371,0,Not Settled
CLM83955122,44103,51654,Pending,Too attention energy win.,44186,POL47639612,83,<90 Days
CLM63313699,44693,86724,Denied,Boy agree little occur wide mention fish.,,POL32483993,0,Not Settled
CLM97330182,44367,60800,Denied,Congress left management myself film newspaper.,44407,POL96919228,40,<60 Days
CLM49632388,45576,62612,Approved,Of notice huge character general common.,,POL84360532,0,Not Settled
CLM87562341,44066,86070,Denied,Run church environment huge.,44108,POL66521872,42,<60 Days
CLM38238490,45101,74380,Denied,Specific mission cold dinner social.,45141,POL77820339,40,<60 Days
CLM11276494,44971,63639,Approved,Suffer realize cost course see foreign parent cell.,45031,POL99222365,60,<60 Days
CLM81357184,43893,20267,Denied,Stop seem professional win.,,POL42903965,0,Not Settled
CLM52464418,44904,19546,Approved,Sing remember far provide best manage PM finally.,44971,POL32514074,67,<90 Days
CLM04892755,45405,20628,Denied,His child take.,,POL64900151,0,Not Settled
CLM99238019,44061,41117,Pending,Chance letter full attention represent.,,POL52977927,0,Not Settled
CLM07715910,44531,3976,Approved,Mr expect environmental to ahead them respond information.,,POL80084188,0,Not Settled
CLM85063315,45632,34324,Denied,Information feeling attorney station cause there.,45668,POL95137552,36,<60 Days
CLM96519689,45333,81133,Approved,Bar hard color property nation then.,45350,POL23949239,17,<30 Days
CLM18693567,45126,80315,Approved,Win call explain hotel mention charge bank.,45161,POL92505335,35,<60 Days
CLM75763057,43905,78281,Approved,You field world rich foot.,43943,POL20321964,38,<60 Days
CLM25476445,44502,41672,Pending,Similar finish computer conference foot.,44555,POL04896223,53,<60 Days
CLM77223798,44131,23195,Approved,Couple carry who interview special would can.,44199,POL19823419,68,<90 Days
CLM27516961,44526,33717,Pending,Rock best road relate western together test.,,POL11162574,0,Not Settled
CLM88260426,44060,68780,Approved,Sea good raise certain design eight.,,POL85357404,0,Not Settled
CLM60683750,44632,88475,Approved,Give certainly seat out hundred fast nature.,44722,POL33693707,90,<90 Days
CLM95431426,44538,10590,Denied,Piece event hope teach skill almost rock.,,POL93217359,0,Not Settled
CLM47775308,44639,11944,Denied,On yeah movie myself eat yard.,44726,POL62321649,87,<90 Days
CLM52914732,45383,68723,Denied,Care national ok store.,,POL08758463,0,Not Settled
CLM18271176,45428,32899,Approved,Brother any off reflect thing decision.,45487,POL45200895,59,<60 Days
CLM32363978,44322,60480,Approved,Later culture open task side who Congress election.,,POL96658719,0,Not Settled
CLM49109163,44664,91023,Denied,Theory drug according else.,,POL51395072,0,Not Settled
CLM22616425,44417,25909,Denied,Even collection whose rise.,44490,POL81196491,73,<90 Days
CLM53182116,44368,33629,Denied,Produce often talk administration responsibility.,44413,POL80647168,45,<60 Days
CLM66315774,44441,88917,Approved,Minute trial cause Mrs.,,POL34332950,0,Not Settled
CLM40098278,45603,16910,Approved,Southern language hold middle take individual that.,45654,POL19560921,51,<60 Days
CLM31162049,45341,36365,Approved,Beyond professor through continue.,45387,POL16711858,46,<60 Days
CLM27880592,44317,87704,Denied,Alone trade toward.,44354,POL41128359,37,<60 Days
CLM08739002,45051,49785,Denied,Thousand couple edge.,,POL22496499,0,Not Settled
CLM10028336,44838,43865,Denied,Civil she over while dream law.,44862,POL40501212,24,<30 Days
CLM98825360,44446,47014,Denied,Figure source not piece alone wish low.,,POL19547339,0,Not Settled
CLM92537697,45007,15537,Approved,Reflect prevent soon should base professional continue dog.,,POL67932010,0,Not Settled
CLM74056631,44668,30133,Pending,Magazine near piece lose experience.,44697,POL38710685,29,<30 Days
CLM10892672,43997,63875,Pending,Since through write set enter left address low.,44070,POL73709176,73,<90 Days
CLM30440408,45006,93289,Approved,Positive rather population fish.,,POL65310322,0,Not Settled
CLM26605878,45396,96777,Pending,Chair matter unit own grow against.,,POL66542527,0,Not Settled
CLM10407501,45582,46217,Approved,Skin draw herself evidence dog table politics.,,POL18799743,0,Not Settled
CLM50567782,44982,15664,Pending,Challenge real future establish suggest same tell.,45068,POL60803243,86,<90 Days
CLM29948493,44217,46019,Denied,Customer else foreign hour single.,,POL35831200,0,Not Settled
CLM12178841,45157,35188,Approved,Last wonder marriage follow over.,45168,POL74568057,11,<30 Days
CLM57253789,45187,68880,Pending,Establish experience successful there.,,POL29859333,0,Not Settled
CLM99079161,45636,52934,Denied,Arrive speak garden manage.,,POL20890423,0,Not Settled
CLM35443710,44109,72636,Pending,Wonder similar window continue.,44169,POL02394133,60,<60 Days
CLM81665774,44101,34231,Denied,Large fish age second any buy.,,POL28148630,0,Not Settled
CLM67694111,45156,77919,Approved,Threat others water process go.,,POL62087073,0,Not Settled
CLM26301752,44435,65356,Approved,Lead place study agency arm.,,POL75285626,0,Not Settled
CLM88625196,43963,93870,Denied,Performance particularly difficult happy base social.,43996,POL77789737,33,<60 Days
CLM29129239,44825,33979,Approved,Create society several family.,44878,POL49795535,53,<60 Days
CLM77926992,44878,12823,Approved,Painting future argue deep around truth moment much.,44948,POL79914241,70,<90 Days
CLM00786936,45129,10696,Denied,Everybody career remember capital.,45159,POL26187162,30,<30 Days
CLM04147631,45246,49543,Denied,Already never item.,45269,POL04817251,23,<30 Days
CLM14137297,44612,34163,Pending,Too expect piece but life system.,44645,POL07640768,33,<60 Days
CLM31057531,43873,59375,Pending,Mrs heart great season car receive.,,POL82098917,0,Not Settled
CLM23809539,44029,65685,Denied,Nice visit glass try.,,POL75780288,0,Not Settled
CLM30576253,43939,35055,Pending,Trouble under until democratic film.,43975,POL63437599,36,<60 Days
CLM94642888,44073,6682,Pending,Health share Mr full party.,,POL06037561,0,Not Settled
CLM19945282,43918,79452,Pending,Box assume law concern.,,POL09568484,0,Not Settled
CLM29182583,44424,80038,Denied,Either house such PM card.,,POL68324145,0,Not Settled
CLM05879384,44406,55422,Pending,Level how agree get tree sing trade others.,44472,POL81359394,66,<90 Days
CLM75943169,43859,13818,Pending,Prevent camera wear of drug recognize.,43894,POL49882725,35,<60 Days
CLM92940878,44116,5232,Denied,Probably available scene wife.,,POL96802208,0,Not Settled
CLM58626233,44042,62539,Pending,Prepare bank north red care different.,44111,POL88923538,69,<90 Days
CLM35401488,45151,11068,Pending,Trial result today science.,,POL51999477,0,Not Settled
CLM96278610,44277,45450,Pending,Everything everybody particularly political executive case hit.,,POL41162519,0,Not Settled
CLM43888646,44711,93294,Approved,Help and and show.,44783,POL51366884,72,<90 Days
CLM74338504,45369,29204,Pending,Spend serve key artist southern above maybe.,45415,POL27425814,46,<60 Days
CLM84341760,44931,84688,Denied,Course only central truth.,44995,POL10824295,64,<90 Days
CLM98482647,43831,47856,Approved,Clearly method hit most before blue toward.,,POL73247469,0,Not Settled
CLM88916505,44016,96521,Denied,Hotel into read star.,,POL45656881,0,Not Settled
CLM16622723,44024,38446,Pending,Alone maintain exist power agent enjoy activity thousand.,44070,POL72122375,46,<60 Days
CLM74810040,44428,32073,Denied,Realize later concern crime tell green able.,,POL34336501,0,Not Settled
CLM38365707,45100,84891,Approved,Young rise leave foreign special.,45120,POL48239604,20,<30 Days
CLM71003253,45303,50926,Pending,Central argue rule response hospital likely gun.,,POL94726413,0,Not Settled
CLM91929596,44007,61415,Pending,Situation option bar sing drive meeting likely.,44042,POL47066048,35,<60 Days
CLM49735464,45597,26888,Approved,Check notice address us language stay.,45670,POL15165645,73,<90 Days
CLM20208977,45264,48857,Pending,Budget write could value have store every western.,45299,POL51933372,35,<60 Days
CLM14772569,44840,74769,Denied,Science customer raise hospital size help.,44899,POL81927332,59,<60 Days
CLM37055079,44075,96964,Pending,Water she big mother dream far how ten.,,POL11303623,0,Not Settled
CLM63421031,44926,83729,Approved,Find evidence more smile its how.,44937,POL38988950,11,<30 Days
CLM43054541,44559,87110,Denied,Page marriage authority huge various walk say surface.,44648,POL87949298,89,<90 Days
CLM49922187,44736,98603,Pending,Effect half talk piece support never.,44805,POL86285298,69,<90 Days
CLM94212055,44408,73315,Approved,Only again music during.,,POL64169471,0,Not Settled
CLM15108906,44224,86317,Denied,Growth your value house main.,,POL41761083,0,Not Settled
CLM09677738,44652,79775,Approved,Too message minute network.,,POL47605263,0,Not Settled
CLM36270209,45150,74640,Denied,Including organization up carry.,45211,POL19547339,61,<90 Days
CLM63183378,44228,98250,Pending,Career imagine apply we family.,44262,POL50049784,34,<60 Days
CLM18654250,44501,54140,Pending,Whole media since agency officer large position.,44550,POL91241306,49,<60 Days
CLM48566397,45348,83951,Denied,Foreign color away state serious.,45389,POL38045222,41,<60 Days
CLM78047351,43906,23441,Pending,Wrong alone current particularly return blue task resource.,43920,POL49030532,14,<30 Days
CLM31089109,45527,53008,Pending,Surface crime officer heart try American team.,45617,POL88449964,90,<90 Days
CLM89401649,44222,49065,Denied,Summer always nation.,44277,POL73218489,55,<60 Days
CLM44595411,45333,92090,Denied,Place along shoulder service determine hand particularly.,45383,POL52778521,50,<60 Days
CLM99327506,45623,74210,Approved,Stock age score agency.,45646,POL64494784,23,<30 Days
CLM41914779,44582,90113,Denied,Both could cell step likely also.,44626,POL60442059,44,<60 Days
CLM64145456,44563,92268,Denied,Where challenge view over list important history.,44646,POL04272099,83,<90 Days
CLM89693804,45599,11629,Approved,Enjoy argue look my.,45639,POL39946670,40,<60 Days
CLM08968932,44318,17123,Denied,Sign newspaper itself by pressure write computer.,44363,POL79130344,45,<60 Days
CLM61261323,44676,31678,Denied,Attorney seek strong vote.,44727,POL99602250,51,<60 Days
CLM61128058,44950,61812,Denied,Which develop lay real standard sing president.,44972,POL02303520,22,<30 Days
CLM51726152,44188,56661,Pending,Ten left side member second crime Democrat southern.,44235,POL87573741,47,<60 Days
CLM10115959,43872,34173,Pending,Training might behind single capital central wonder official.,43890,POL89482669,18,<30 Days
CLM28697442,43825,25630,Approved,Machine trouble people.,,POL63887686,0,Not Settled
CLM26124703,44660,74988,Pending,Cell reveal church direction several budget.,44722,POL40235413,62,<90 Days
CLM12431744,44097,18315,Pending,Serve language start ability door order build.,44152,POL94744561,55,<60 Days
CLM30642848,45593,98629,Denied,International cause growth cause bank.,45644,POL83964879,51,<60 Days
CLM18504460,44167,82957,Denied,Necessary rise everything.,44218,POL96627466,51,<60 Days
CLM60564493,45304,95552,Approved,Citizen light to close participant campaign turn.,,POL68469433,0,Not Settled
CLM98190112,43990,14225,Denied,Take arrive more have response early ago.,,POL13287986,0,Not Settled
CLM70179165,44906,31263,Pending,Kitchen page star none page trade recent.,44962,POL52933183,56,<60 Days
CLM56418751,44643,64027,Pending,Itself relationship chance cause consider check customer television.,44662,POL00522342,19,<30 Days
CLM76727029,44135,20739,Pending,Teach how action parent must feeling.,44222,POL74138353,87,<90 Days
CLM44819525,44281,31578,Approved,Board soon eat system have TV mother.,44352,POL38116452,71,<90 Days
CLM09602602,45620,35509,Approved,Issue area class wait contain college land truth.,45648,POL40650840,28,<30 Days
CLM72762178,45463,50343,Approved,Government whatever cold.,45511,POL93099683,48,<60 Days
CLM86741739,44508,49265,Denied,Identify charge operation responsibility military.,,POL43343233,0,Not Settled
CLM74916271,44013,82143,Denied,Expert plant shoulder rock news top.,44049,POL59899170,36,<60 Days
CLM46687777,44954,8238,Pending,Allow weight customer memory exactly.,45040,POL55583522,86,<90 Days
CLM64174646,43902,13574,Pending,Leader whatever report let region cost.,,POL75098865,0,Not Settled
CLM60099452,45352,24198,Denied,Represent interview us go.,45383,POL45114954,31,<60 Days
CLM24833636,45369,39072,Pending,Employee shake defense end build effect address national.,45390,POL95213167,21,<30 Days
CLM34087445,44584,2052,Pending,Rise trade fish recognize east close.,44641,POL83585187,57,<60 Days
CLM21161047,45148,41205,Approved,Happy language edge high morning look market understand.,45194,POL90115447,46,<60 Days
CLM07703633,45288,44876,Approved,Edge and everything.,45304,POL89664710,16,<30 Days
CLM70627461,44571,38085,Pending,Simple six easy and pull.,44583,POL63810929,12,<30 Days
CLM47183530,44088,79337,Approved,After east north different hit four.,44134,POL55128968,46,<60 Days
CLM03565688,44270,72682,Pending,Political green wrong interesting by condition assume.,,POL80888212,0,Not Settled
CLM88651406,44522,44479,Denied,Listen seat sell go author.,44559,POL36630030,37,<60 Days
CLM37034870,43856,60610,Pending,Drug end player step approach best.,,POL36273981,0,Not Settled
CLM89955770,43960,40070,Denied,Anyone keep visit majority quickly.,43990,POL71516749,30,<30 Days
CLM24497536,45209,34582,Approved,Series other relate a.,45231,POL84868487,22,<30 Days
CLM76767404,44225,73124,Pending,Section better call investment year explain lay.,44286,POL54898212,61,<90 Days
CLM71015091,43957,87744,Approved,Should different today employee.,43988,POL79057725,31,<60 Days
CLM17667604,44376,91733,Approved,General social factor morning check no personal.,44404,POL90883106,28,<30 Days
CLM52588369,45389,23759,Approved,End bring start people.,45474,POL55589679,85,<90 Days
CLM36041290,45370,14076,Pending,Boy marriage time appear.,45410,POL23939811,40,<60 Days
CLM65338936,43841,45957,Approved,Particular attention rise company hotel citizen.,,POL95370014,0,Not Settled
