Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID,Discount Buckets,Risk Score Buckets
AGT53433359,Pending,37,54,POL21300763,<40%,High Risk(<=75)
AGT97761864,Renewed,18,75,POL27708077,<20%,High Risk(<=75)
AGT91783202,Pending,27,75,POL97831639,<40%,High Risk(<=75)
AGT55165473,Pending,25,35,POL66952651,<40%,Medium Risk(<=50)
AGT25853628,Renewed,45,61,POL36273981,>40%,High Risk(<=75)
AGT93876422,Renewed,48,83,POL34621999,>40%,Very High Risk(75+)
AGT80165018,Pending,46,80,POL72333651,>40%,Very High Risk(75+)
AGT00132948,Pending,8,95,POL60474745,<20%,Very High Risk(75+)
AGT76069643,Renewed,27,32,POL48632113,<40%,Medium Risk(<=50)
AGT02449182,Not Renewed,11,59,POL95138693,<20%,High Risk(<=75)
AGT73119441,Not Renewed,17,91,POL55883370,<20%,Very High Risk(75+)
AGT33556446,Renewed,30,12,POL45719981,<40%,Low Risk(<=25)
AGT81291077,Pending,49,71,POL49483988,>40%,High Risk(<=75)
AGT61002687,Pending,7,53,POL01860747,<20%,High Risk(<=75)
AGT29482086,Pending,46,46,POL49959847,>40%,Medium Risk(<=50)
AGT49731977,Renewed,48,5,POL69437529,>40%,Low Risk(<=25)
AGT99269595,Not Renewed,30,94,POL71731028,<40%,Very High Risk(75+)
AGT27401713,Not Renewed,15,32,POL22702092,<20%,Medium Risk(<=50)
AGT84963028,Pending,9,77,POL21489269,<20%,Very High Risk(75+)
AGT33631156,Pending,2,2,POL45984534,<20%,Low Risk(<=25)
AGT60548674,Renewed,2,81,POL21893654,<20%,Very High Risk(75+)
AGT15928890,Renewed,23,90,POL88802098,<40%,Very High Risk(75+)
AGT42221698,Not Renewed,20,10,POL47409156,<20%,Low Risk(<=25)
AGT99012819,Renewed,13,56,POL12333540,<20%,High Risk(<=75)
AGT60367390,Pending,49,39,POL97112066,>40%,Medium Risk(<=50)
AGT16692500,Renewed,4,96,POL83318258,<20%,Very High Risk(75+)
AGT87673631,Renewed,6,31,POL98060005,<20%,Medium Risk(<=50)
AGT39341646,Pending,13,86,POL54140134,<20%,Very High Risk(75+)
AGT15986892,Renewed,18,31,POL68523270,<20%,Medium Risk(<=50)
AGT34579920,Not Renewed,12,96,POL24523489,<20%,Very High Risk(75+)
AGT59554873,Not Renewed,23,66,POL63559916,<40%,High Risk(<=75)
AGT08527717,Not Renewed,34,97,POL04817251,<40%,Very High Risk(75+)
AGT12372743,Pending,7,19,POL16158469,<20%,Low Risk(<=25)
AGT41927714,Renewed,27,68,POL70411495,<40%,High Risk(<=75)
AGT78768111,Renewed,36,44,POL04317062,<40%,Medium Risk(<=50)
AGT92749001,Renewed,3,70,POL65664761,<20%,High Risk(<=75)
AGT89914925,Not Renewed,0,96,POL97107834,No Discount,Very High Risk(75+)
AGT29908905,Pending,34,52,POL54636114,<40%,High Risk(<=75)
AGT61116641,Pending,28,66,POL46770635,<40%,High Risk(<=75)
AGT57708211,Renewed,50,65,POL31689204,>40%,High Risk(<=75)
AGT68431173,Pending,20,11,POL01562531,<20%,Low Risk(<=25)
AGT76152251,Not Renewed,34,14,POL05208106,<40%,Low Risk(<=25)
AGT00526785,Renewed,14,99,POL82154213,<20%,Very High Risk(75+)
AGT34200164,Pending,32,100,POL93979639,<40%,Very High Risk(75+)
AGT22232497,Not Renewed,8,28,POL42360341,<20%,Medium Risk(<=50)
AGT76969909,Renewed,16,11,POL06836904,<20%,Low Risk(<=25)
AGT78175799,Renewed,3,64,POL56668614,<20%,High Risk(<=75)
AGT77739294,Pending,46,6,POL30563403,>40%,Low Risk(<=25)
AGT24454901,Not Renewed,7,96,POL99360572,<20%,Very High Risk(75+)
AGT69535902,Pending,18,20,POL34787590,<20%,Low Risk(<=25)
AGT90019214,Pending,48,9,POL87094510,>40%,Low Risk(<=25)
AGT87441246,Not Renewed,30,15,POL39823507,<40%,Low Risk(<=25)
AGT00165849,Pending,4,8,POL27805496,<20%,Low Risk(<=25)
AGT81065381,Not Renewed,47,94,POL75285626,>40%,Very High Risk(75+)
AGT05483710,Pending,38,98,POL33045617,<40%,Very High Risk(75+)
AGT59570266,Renewed,42,87,POL43978572,>40%,Very High Risk(75+)
AGT94182643,Not Renewed,24,80,POL97172919,<40%,Very High Risk(75+)
AGT57438348,Renewed,1,66,POL57660624,<20%,High Risk(<=75)
AGT49428557,Not Renewed,43,100,POL97141577,>40%,Very High Risk(75+)
AGT29163029,Renewed,8,28,POL72882206,<20%,Medium Risk(<=50)
AGT71347223,Renewed,37,20,POL18209726,<40%,Low Risk(<=25)
AGT73300909,Pending,1,99,POL13830672,<20%,Very High Risk(75+)
AGT92567481,Not Renewed,31,14,POL47058325,<40%,Low Risk(<=25)
AGT85062179,Renewed,35,88,POL81166647,<40%,Very High Risk(75+)
AGT83157774,Not Renewed,16,95,POL38243316,<20%,Very High Risk(75+)
AGT06205845,Not Renewed,43,2,POL54451854,>40%,Low Risk(<=25)
AGT47134054,Pending,42,27,POL82263236,>40%,Medium Risk(<=50)
AGT16339543,Renewed,17,99,POL90131284,<20%,Very High Risk(75+)
AGT56192595,Not Renewed,8,76,POL26293582,<20%,Very High Risk(75+)
AGT59569820,Not Renewed,0,78,POL78678051,No Discount,Very High Risk(75+)
AGT03066612,Not Renewed,40,11,POL47598430,<40%,Low Risk(<=25)
AGT34664827,Renewed,49,16,POL81442858,>40%,Low Risk(<=25)
AGT54315529,Not Renewed,20,66,POL55191578,<20%,High Risk(<=75)
AGT66235603,Not Renewed,46,25,POL27120331,>40%,Low Risk(<=25)
AGT35207521,Not Renewed,31,20,POL07162543,<40%,Low Risk(<=25)
AGT70373802,Renewed,32,83,POL95376981,<40%,Very High Risk(75+)
AGT98646739,Pending,13,40,POL52820408,<20%,Medium Risk(<=50)
AGT92454216,Pending,24,64,POL19547939,<40%,High Risk(<=75)
AGT00952090,Renewed,27,90,POL68111520,<40%,Very High Risk(75+)
AGT19951838,Renewed,28,81,POL36499322,<40%,Very High Risk(75+)
AGT03921996,Not Renewed,10,30,POL32150481,<20%,Medium Risk(<=50)
AGT39617618,Renewed,20,93,POL88380542,<20%,Very High Risk(75+)
AGT61433055,Renewed,43,57,POL80647168,>40%,High Risk(<=75)
AGT11706758,Renewed,3,59,POL38987416,<20%,High Risk(<=75)
AGT32700673,Renewed,4,14,POL00083014,<20%,Low Risk(<=25)
AGT05655177,Renewed,10,79,POL31461864,<20%,Very High Risk(75+)
AGT68490761,Not Renewed,46,81,POL54483538,>40%,Very High Risk(75+)
AGT73659480,Pending,37,6,POL81378407,<40%,Low Risk(<=25)
AGT67056573,Renewed,27,68,POL61308425,<40%,High Risk(<=75)
AGT54103993,Not Renewed,34,92,POL38013131,<40%,Very High Risk(75+)
AGT40123775,Pending,43,13,POL05346323,>40%,Low Risk(<=25)
AGT25548856,Pending,27,80,POL64258389,<40%,Very High Risk(75+)
AGT19506228,Renewed,36,95,POL17357252,<40%,Very High Risk(75+)
AGT37188655,Renewed,31,41,POL34904099,<40%,Medium Risk(<=50)
AGT80456582,Not Renewed,4,33,POL72738203,<20%,Medium Risk(<=50)
AGT77886874,Not Renewed,33,43,POL70954405,<40%,Medium Risk(<=50)
AGT69372806,Pending,6,60,POL51543894,<20%,High Risk(<=75)
AGT88057806,Pending,22,45,POL80620404,<40%,Medium Risk(<=50)
AGT36368961,Renewed,1,50,POL91781501,<20%,Medium Risk(<=50)
AGT70129314,Pending,27,28,POL32483993,<40%,Medium Risk(<=50)
AGT08769669,Renewed,33,3,POL24708378,<40%,Low Risk(<=25)
AGT98467458,Renewed,47,63,POL16494384,>40%,High Risk(<=75)
AGT38346405,Pending,32,11,POL16772067,<40%,Low Risk(<=25)
AGT62720645,Not Renewed,29,23,POL43083313,<40%,Low Risk(<=25)
AGT30393232,Not Renewed,38,68,POL49745850,<40%,High Risk(<=75)
AGT16991604,Not Renewed,40,16,POL32270366,<40%,Low Risk(<=25)
AGT55450180,Renewed,37,96,POL76043297,<40%,Very High Risk(75+)
AGT39447688,Pending,35,51,POL60143824,<40%,High Risk(<=75)
AGT58293183,Pending,50,25,POL97550763,>40%,Low Risk(<=25)
AGT30444682,Pending,48,95,POL97742612,>40%,Very High Risk(75+)
AGT41104484,Not Renewed,8,41,POL64302284,<20%,Medium Risk(<=50)
AGT51259974,Renewed,18,97,POL56785706,<20%,Very High Risk(75+)
AGT54327832,Not Renewed,39,70,POL80161505,<40%,High Risk(<=75)
AGT94057606,Renewed,29,80,POL49730272,<40%,Very High Risk(75+)
AGT24399946,Pending,40,76,POL48692889,<40%,Very High Risk(75+)
AGT68887927,Pending,6,79,POL59708414,<20%,Very High Risk(75+)
AGT33620326,Renewed,42,89,POL12912083,>40%,Very High Risk(75+)
AGT62038930,Pending,26,54,POL77831101,<40%,High Risk(<=75)
AGT37764192,Not Renewed,0,28,POL13181341,No Discount,Medium Risk(<=50)
AGT89530394,Renewed,19,19,POL28786930,<20%,Low Risk(<=25)
AGT10655262,Not Renewed,23,24,POL84549394,<40%,Low Risk(<=25)
AGT03964867,Not Renewed,15,4,POL10704502,<20%,Low Risk(<=25)
AGT78153598,Not Renewed,45,7,POL38732884,>40%,Low Risk(<=25)
AGT74419819,Not Renewed,1,38,POL75720719,<20%,Medium Risk(<=50)
AGT89058798,Pending,3,53,POL26162057,<20%,High Risk(<=75)
AGT76426387,Not Renewed,18,69,POL75089142,<20%,High Risk(<=75)
AGT37470653,Renewed,31,53,POL66183736,<40%,High Risk(<=75)
AGT03923721,Renewed,11,90,POL62525398,<20%,Very High Risk(75+)
AGT23026130,Renewed,17,24,POL28794187,<20%,Low Risk(<=25)
AGT72605043,Pending,24,20,POL92222297,<40%,Low Risk(<=25)
AGT33107700,Renewed,12,27,POL01033936,<20%,Medium Risk(<=50)
AGT51939932,Not Renewed,26,96,POL76374292,<40%,Very High Risk(75+)
AGT48803449,Pending,3,22,POL87664346,<20%,Low Risk(<=25)
AGT87999065,Pending,38,73,POL62189642,<40%,High Risk(<=75)
AGT31392882,Not Renewed,2,65,POL60737583,<20%,High Risk(<=75)
AGT48143419,Not Renewed,13,86,POL95387029,<20%,Very High Risk(75+)
AGT71162128,Renewed,9,84,POL32733098,<20%,Very High Risk(75+)
AGT74659233,Pending,37,98,POL77019254,<40%,Very High Risk(75+)
AGT32833809,Not Renewed,24,96,POL02597557,<40%,Very High Risk(75+)
AGT56751869,Not Renewed,24,15,POL45321254,<40%,Low Risk(<=25)
AGT60698406,Not Renewed,32,47,POL24753734,<40%,Medium Risk(<=50)
AGT76505336,Pending,15,32,POL21924883,<20%,Medium Risk(<=50)
AGT20564507,Not Renewed,10,24,POL45105855,<20%,Low Risk(<=25)
AGT42683231,Renewed,36,41,POL53613913,<40%,Medium Risk(<=50)
AGT84540516,Not Renewed,6,76,POL22302710,<20%,Very High Risk(75+)
AGT47050590,Not Renewed,8,59,POL37452247,<20%,High Risk(<=75)
AGT38010001,Renewed,39,37,POL67279435,<40%,Medium Risk(<=50)
AGT20677978,Renewed,14,76,POL61218156,<20%,Very High Risk(75+)
AGT73968051,Not Renewed,3,72,POL38619975,<20%,High Risk(<=75)
AGT95367675,Renewed,0,82,POL88503599,No Discount,Very High Risk(75+)
AGT69494978,Not Renewed,33,11,POL69041241,<40%,Low Risk(<=25)
AGT29094398,Not Renewed,2,38,POL46495596,<20%,Medium Risk(<=50)
AGT70466820,Renewed,10,85,POL34251194,<20%,Very High Risk(75+)
AGT03331291,Renewed,40,100,POL77104949,<40%,Very High Risk(75+)
AGT14285330,Pending,21,9,POL40125720,<40%,Low Risk(<=25)
AGT58133289,Not Renewed,10,42,POL63626262,<20%,Medium Risk(<=50)
AGT75880461,Renewed,33,32,POL74568057,<40%,Medium Risk(<=50)
AGT28086404,Renewed,12,76,POL52774850,<20%,Very High Risk(75+)
AGT92110080,Not Renewed,12,64,POL17282682,<20%,High Risk(<=75)
AGT05803055,Not Renewed,14,22,POL81122472,<20%,Low Risk(<=25)
AGT27096177,Pending,32,95,POL39104228,<40%,Very High Risk(75+)
AGT75200326,Renewed,28,32,POL39650167,<40%,Medium Risk(<=50)
AGT08468404,Pending,34,99,POL76903743,<40%,Very High Risk(75+)
AGT85429771,Pending,43,91,POL82111920,>40%,Very High Risk(75+)
AGT08834079,Pending,15,70,POL39805762,<20%,High Risk(<=75)
AGT40136857,Renewed,31,98,POL50354765,<40%,Very High Risk(75+)
AGT65268634,Not Renewed,24,88,POL61924951,<40%,Very High Risk(75+)
AGT52644590,Not Renewed,16,79,POL48511316,<20%,Very High Risk(75+)
AGT21732408,Pending,38,82,POL51366884,<40%,Very High Risk(75+)
AGT33119136,Not Renewed,15,43,POL46853221,<20%,Medium Risk(<=50)
AGT92652990,Pending,30,98,POL03944211,<40%,Very High Risk(75+)
AGT48496317,Pending,22,76,POL15004770,<40%,Very High Risk(75+)
AGT62754643,Pending,35,31,POL04951844,<40%,Medium Risk(<=50)
AGT90274927,Renewed,2,66,POL38588789,<20%,High Risk(<=75)
AGT47619095,Renewed,15,37,POL82419107,<20%,Medium Risk(<=50)
AGT30399450,Not Renewed,31,76,POL33737447,<40%,Very High Risk(75+)
AGT88407038,Not Renewed,25,59,POL64767382,<40%,High Risk(<=75)
AGT92550011,Pending,11,1,POL23594772,<20%,Low Risk(<=25)
AGT59255361,Renewed,48,52,POL94518815,>40%,High Risk(<=75)
AGT55291369,Pending,19,73,POL37985546,<20%,High Risk(<=75)
AGT81423408,Renewed,30,4,POL95836164,<40%,Low Risk(<=25)
AGT73811983,Renewed,46,65,POL41393239,>40%,High Risk(<=75)
AGT21277595,Pending,16,100,POL95244165,<20%,Very High Risk(75+)
AGT07107431,Not Renewed,27,45,POL63274681,<40%,Medium Risk(<=50)
AGT38608444,Renewed,26,82,POL97969575,<40%,Very High Risk(75+)
AGT16776278,Not Renewed,8,90,POL33330579,<20%,Very High Risk(75+)
AGT40467903,Not Renewed,50,5,POL82251135,>40%,Low Risk(<=25)
AGT98652077,Not Renewed,39,2,POL93411965,<40%,Low Risk(<=25)
AGT89903402,Renewed,33,21,POL22177049,<40%,Low Risk(<=25)
AGT99495062,Not Renewed,18,22,POL02585077,<20%,Low Risk(<=25)
AGT43336552,Renewed,36,12,POL01267201,<40%,Low Risk(<=25)
AGT76752602,Not Renewed,20,92,POL45899805,<20%,Very High Risk(75+)
AGT13375237,Not Renewed,34,38,POL76517809,<40%,Medium Risk(<=50)
AGT66093598,Pending,22,27,POL88210682,<40%,Medium Risk(<=50)
AGT26504252,Not Renewed,25,31,POL85021281,<40%,Medium Risk(<=50)
AGT87256601,Pending,23,100,POL81192447,<40%,Very High Risk(75+)
AGT67575849,Renewed,17,54,POL75206437,<20%,High Risk(<=75)
AGT85550265,Pending,12,49,POL49763923,<20%,Medium Risk(<=50)
AGT25205923,Not Renewed,9,66,POL10008915,<20%,High Risk(<=75)
AGT12390221,Renewed,43,86,POL02313500,>40%,Very High Risk(75+)
AGT61322860,Pending,41,64,POL09750798,>40%,High Risk(<=75)
AGT26864803,Pending,30,43,POL36666009,<40%,Medium Risk(<=50)
AGT63204955,Not Renewed,9,96,POL96855506,<20%,Very High Risk(75+)
AGT70825273,Not Renewed,22,69,POL71516749,<40%,High Risk(<=75)
AGT98566760,Not Renewed,37,24,POL95480869,<40%,Low Risk(<=25)
AGT59811328,Not Renewed,42,89,POL46131890,>40%,Very High Risk(75+)
AGT50805566,Pending,46,83,POL64900151,>40%,Very High Risk(75+)
AGT14301005,Not Renewed,43,58,POL42034856,>40%,High Risk(<=75)
AGT51929051,Pending,7,31,POL60897326,<20%,Medium Risk(<=50)
AGT99121921,Not Renewed,38,18,POL38380842,<40%,Low Risk(<=25)
AGT25569174,Renewed,40,86,POL51145073,<40%,Very High Risk(75+)
AGT72424925,Renewed,44,93,POL73019543,>40%,Very High Risk(75+)
AGT38458755,Pending,47,55,POL15948540,>40%,High Risk(<=75)
AGT60864068,Not Renewed,44,42,POL45059272,>40%,Medium Risk(<=50)
AGT28919827,Not Renewed,31,60,POL46263397,<40%,High Risk(<=75)
AGT07435520,Pending,46,44,POL66640089,>40%,Medium Risk(<=50)
AGT51523784,Pending,49,25,POL17047233,>40%,Low Risk(<=25)
AGT70998152,Not Renewed,36,14,POL96919228,<40%,Low Risk(<=25)
AGT00146313,Renewed,47,13,POL33693707,>40%,Low Risk(<=25)
AGT85883649,Not Renewed,31,60,POL81185546,<40%,High Risk(<=75)
AGT80475476,Pending,37,68,POL05429840,<40%,High Risk(<=75)
AGT44979089,Not Renewed,28,79,POL50110641,<40%,Very High Risk(75+)
AGT66467932,Not Renewed,5,90,POL71744441,<20%,Very High Risk(75+)
AGT71923800,Renewed,22,36,POL80794764,<40%,Medium Risk(<=50)
AGT17394553,Pending,21,3,POL64700295,<40%,Low Risk(<=25)
AGT98734146,Not Renewed,42,37,POL98412521,>40%,Medium Risk(<=50)
AGT90931380,Pending,18,18,POL23491107,<20%,Low Risk(<=25)
AGT62253770,Renewed,16,84,POL97266170,<20%,Very High Risk(75+)
AGT66575714,Renewed,26,18,POL60046834,<40%,Low Risk(<=25)
AGT21623920,Not Renewed,46,8,POL72656147,>40%,Low Risk(<=25)
AGT34856076,Not Renewed,7,81,POL74554228,<20%,Very High Risk(75+)
AGT43555473,Renewed,42,3,POL98054081,>40%,Low Risk(<=25)
AGT85093159,Renewed,40,36,POL35020187,<40%,Medium Risk(<=50)
AGT80474616,Renewed,27,63,POL44308362,<40%,High Risk(<=75)
AGT28171168,Not Renewed,50,41,POL68261547,>40%,Medium Risk(<=50)
AGT07617950,Not Renewed,17,94,POL26905808,<20%,Very High Risk(75+)
AGT73468459,Not Renewed,15,71,POL86166507,<20%,High Risk(<=75)
AGT33628816,Not Renewed,22,36,POL50777099,<40%,Medium Risk(<=50)
AGT85406800,Pending,45,16,POL93547945,>40%,Low Risk(<=25)
AGT14631929,Not Renewed,49,29,POL07046709,>40%,Medium Risk(<=50)
AGT86149386,Renewed,44,95,POL21148415,>40%,Very High Risk(75+)
AGT79296092,Not Renewed,45,36,POL82205448,>40%,Medium Risk(<=50)
AGT12463171,Not Renewed,7,44,POL12315723,<20%,Medium Risk(<=50)
AGT11995357,Not Renewed,37,41,POL47731308,<40%,Medium Risk(<=50)
AGT72297030,Renewed,32,29,POL43397255,<40%,Medium Risk(<=50)
AGT20358120,Not Renewed,15,32,POL11204815,<20%,Medium Risk(<=50)
AGT90750525,Not Renewed,26,50,POL99143995,<40%,Medium Risk(<=50)
AGT54961098,Renewed,23,16,POL26146635,<40%,Low Risk(<=25)
AGT19894422,Renewed,43,63,POL26656861,>40%,High Risk(<=75)
AGT76909046,Not Renewed,43,81,POL35610268,>40%,Very High Risk(75+)
AGT32696972,Pending,26,52,POL85095212,<40%,High Risk(<=75)
AGT99816509,Pending,14,82,POL50064094,<20%,Very High Risk(75+)
AGT54266292,Not Renewed,49,5,POL21104754,>40%,Low Risk(<=25)
AGT45051677,Not Renewed,5,96,POL17443101,<20%,Very High Risk(75+)
AGT78263439,Renewed,48,2,POL13777499,>40%,Low Risk(<=25)
AGT59897337,Renewed,47,21,POL64793827,>40%,Low Risk(<=25)
AGT84213331,Pending,50,41,POL04297854,>40%,Medium Risk(<=50)
AGT40449378,Not Renewed,1,72,POL25054429,<20%,High Risk(<=75)
AGT43268338,Not Renewed,7,8,POL83519950,<20%,Low Risk(<=25)
AGT53675858,Pending,39,7,POL01371032,<40%,Low Risk(<=25)
AGT98835382,Not Renewed,50,20,POL73793836,>40%,Low Risk(<=25)
AGT93407074,Pending,28,16,POL96932553,<40%,Low Risk(<=25)
AGT00348040,Renewed,39,81,POL28853856,<40%,Very High Risk(75+)
AGT13144167,Not Renewed,17,53,POL65042207,<20%,High Risk(<=75)
AGT49460453,Pending,8,14,POL94939680,<20%,Low Risk(<=25)
AGT62996888,Renewed,46,8,POL31533848,>40%,Low Risk(<=25)
AGT26125144,Renewed,48,71,POL06413142,>40%,High Risk(<=75)
AGT69985119,Renewed,39,91,POL28065491,<40%,Very High Risk(75+)
AGT33383010,Renewed,19,20,POL98433170,<20%,Low Risk(<=25)
AGT82813977,Renewed,4,33,POL73294320,<20%,Medium Risk(<=50)
AGT42300781,Renewed,19,21,POL14657611,<20%,Low Risk(<=25)
AGT75504303,Renewed,12,43,POL58974752,<20%,Medium Risk(<=50)
AGT03747643,Pending,18,58,POL89482669,<20%,High Risk(<=75)
AGT93944947,Pending,26,16,POL08716825,<40%,Low Risk(<=25)
AGT80747820,Renewed,13,27,POL19720600,<20%,Medium Risk(<=50)
AGT84071940,Renewed,47,8,POL16699537,>40%,Low Risk(<=25)
AGT42157835,Renewed,32,73,POL26365674,<40%,High Risk(<=75)
AGT83682172,Renewed,16,13,POL86711709,<20%,Low Risk(<=25)
AGT21577486,Pending,8,89,POL29474046,<20%,Very High Risk(75+)
AGT65227362,Not Renewed,29,94,POL45601263,<40%,Very High Risk(75+)
AGT63379384,Renewed,45,42,POL61565872,>40%,Medium Risk(<=50)
AGT87671508,Pending,50,17,POL52327651,>40%,Low Risk(<=25)
AGT36122798,Not Renewed,17,79,POL40589612,<20%,Very High Risk(75+)
AGT97371857,Not Renewed,48,87,POL72673699,>40%,Very High Risk(75+)
AGT30749142,Pending,6,10,POL86347307,<20%,Low Risk(<=25)
AGT36739708,Not Renewed,46,45,POL74599769,>40%,Medium Risk(<=50)
AGT60340010,Not Renewed,43,30,POL02256240,>40%,Medium Risk(<=50)
AGT06980160,Not Renewed,13,93,POL02002771,<20%,Very High Risk(75+)
AGT86029376,Renewed,32,69,POL43561258,<40%,High Risk(<=75)
AGT61857989,Not Renewed,46,96,POL83865881,>40%,Very High Risk(75+)
AGT65044560,Renewed,15,36,POL91395324,<20%,Medium Risk(<=50)
