Payment ID,Date of Payment,Amount Paid,Payment Method,Payment Status,Policy ID
PAY35834324,45383,228.02,Bank Transfer,Failed,POL06119117
PAY31440664,45015,265.76,Bank Transfer,Successful,POL70483793
PAY25455131,44934,943.53,Credit Card,Successful,POL46961879
PAY38353271,44939,730.38,Bank Transfer,Failed,POL30619857
PAY21574684,44838,829.54,Credit Card,Failed,POL78045083
PAY02564038,45507,842.11,Cash,Successful,POL39337647
PAY42202633,44971,716.2,Credit Card,Failed,POL18021070
PAY97878598,45014,60.33,Cash,Failed,POL76750122
PAY92981765,45587,476.82,Credit Card,Successful,POL66073787
PAY04936308,45003,575.64,Bank Transfer,Failed,POL80170716
PAY50872609,45078,248.9,Bank Transfer,Successful,POL27717636
PAY90324234,45108,976.14,Credit Card,Failed,POL68917134
PAY59444329,45346,1300.04,Credit Card,Failed,POL38116452
PAY61476184,45433,366.41,Cash,Successful,POL83352802
PAY87777836,44951,482.64,Credit Card,Successful,POL91109221
PAY43986423,44566,622.9,Bank Transfer,Failed,POL69907310
PAY36108756,44700,1111.71,Cash,Failed,POL35855900
PAY41543920,44900,673.14,Cash,Failed,POL74728288
PAY19766369,45405,1351.89,Cash,Successful,POL79918238
PAY19966051,44558,855.26,Bank Transfer,Successful,POL53156329
PAY95964937,44960,122.78,Bank Transfer,Successful,POL20662516
PAY43394679,44895,708.29,Cash,Failed,POL15506424
PAY93695049,44671,587.51,Bank Transfer,Successful,POL68885255
PAY78326009,45193,1101.83,Credit Card,Successful,POL69146247
PAY20946748,44808,873.25,Credit Card,Failed,POL33853949
PAY98224577,45450,153.74,Credit Card,Failed,POL98320101
PAY57044240,45359,735.24,Bank Transfer,Successful,POL88240464
PAY16009231,45243,1256.68,Bank Transfer,Failed,POL72738203
PAY73687982,45383,643.25,Bank Transfer,Failed,POL63841611
PAY79066960,45012,300,Cash,Successful,POL98385553
PAY60341804,45291,1437.08,Bank Transfer,Successful,POL19972510
PAY17957034,44602,746.62,Bank Transfer,Failed,POL97266170
PAY81138084,45420,655.14,Credit Card,Failed,POL55078458
PAY60576294,45624,938.45,Bank Transfer,Successful,POL63461298
PAY19253746,44577,773.61,Bank Transfer,Failed,POL80129143
PAY83114509,45619,1404.96,Bank Transfer,Successful,POL06449689
PAY02232582,45302,554.07,Bank Transfer,Successful,POL43758168
PAY58408652,45526,352.94,Cash,Successful,POL88017939
PAY60794812,44672,340.29,Credit Card,Failed,POL27444083
PAY00363013,44736,1199.23,Bank Transfer,Successful,POL10754194
PAY66695180,44745,588.58,Credit Card,Successful,POL28656372
PAY75032532,44855,1216.4,Bank Transfer,Successful,POL58266398
PAY09416544,45563,762.4,Credit Card,Failed,POL11516583
PAY13772937,45259,1091.85,Bank Transfer,Failed,POL04691373
PAY85507710,45100,110.15,Credit Card,Successful,POL94564854
PAY62337683,45584,992.28,Credit Card,Failed,POL96274415
PAY46347920,45022,213.16,Cash,Failed,POL33832316
PAY26392516,45051,1183.44,Cash,Failed,POL31533848
PAY15542110,44736,1359.07,Cash,Failed,POL86478823
PAY66206871,44882,700.58,Bank Transfer,Failed,POL76932868
PAY92930006,45615,499.21,Bank Transfer,Successful,POL06565717
PAY40050279,44691,1346.81,Credit Card,Failed,POL36666009
PAY76363350,45125,1121.18,Bank Transfer,Failed,POL08111147
PAY53745015,44960,969.36,Cash,Failed,POL45081491
PAY70064579,45437,1454.96,Cash,Failed,POL63694348
PAY99113645,44795,1249.75,Bank Transfer,Successful,POL21822034
PAY96226115,45054,164.93,Cash,Successful,POL13070623
PAY22141953,45291,1083.47,Bank Transfer,Successful,POL62149179
PAY03568278,44646,152.09,Credit Card,Failed,POL83258516
PAY07803986,45085,1154.73,Credit Card,Successful,POL32140351
PAY65298430,45262,1167.52,Bank Transfer,Failed,POL02312997
PAY96143715,45387,707.12,Cash,Failed,POL78513544
PAY70409269,44593,1069.85,Bank Transfer,Failed,POL03845436
PAY90114481,44643,616.77,Bank Transfer,Failed,POL01681251
PAY35235538,44634,989.86,Credit Card,Successful,POL34373487
PAY25116857,45276,1399.78,Cash,Failed,POL88351498
PAY36577326,45608,676.78,Credit Card,Failed,POL52938288
PAY03768212,45313,1217.15,Credit Card,Failed,POL45153648
PAY76124418,44817,1376.39,Cash,Successful,POL96583337
PAY93236596,45572,250.31,Bank Transfer,Successful,POL16680260
PAY87852335,44869,221.67,Cash,Successful,POL67510645
PAY98406274,44697,795.63,Credit Card,Failed,POL83116097
PAY54515029,44660,1391.88,Credit Card,Failed,POL15948540
PAY07229877,44613,1483.26,Credit Card,Failed,POL08764986
PAY05750407,45092,880,Credit Card,Successful,POL78499068
PAY26127195,45013,355.41,Cash,Successful,POL18608877
PAY56228408,44943,1012.14,Cash,Successful,POL34306249
PAY11164056,44617,970.43,Cash,Successful,POL09886051
PAY89311147,45189,1043.18,Cash,Successful,POL11682509
PAY38564214,45483,1314.08,Cash,Successful,POL69691492
PAY71439803,45168,360.59,Cash,Successful,POL92865559
PAY84220599,45380,798.56,Credit Card,Failed,POL34108237
PAY52475564,44871,1244.04,Bank Transfer,Failed,POL92351882
PAY58092382,44755,933.54,Cash,Successful,POL13704102
PAY50986431,45248,1165.22,Cash,Failed,POL39531025
PAY07477603,45021,823.12,Credit Card,Successful,POL38182158
PAY30707673,45202,515.16,Cash,Successful,POL85450794
PAY52711719,45096,711.03,Credit Card,Successful,POL55315698
PAY96135803,44780,618.38,Bank Transfer,Successful,POL86299537
PAY87806837,45160,62.25,Cash,Successful,POL41657581
PAY28080391,44989,620.51,Credit Card,Failed,POL00874992
PAY37365093,45273,1283.9,Credit Card,Successful,POL00228879
PAY31559747,45162,1318.94,Bank Transfer,Successful,POL33352305
PAY82091623,44639,1331.66,Bank Transfer,Failed,POL39644432
PAY85611452,45174,1475.58,Bank Transfer,Failed,POL91208117
PAY91287391,45280,330.62,Bank Transfer,Successful,POL96578326
PAY48314485,45222,951.85,Cash,Successful,POL94568655
PAY39368200,45528,1127.03,Cash,Successful,POL69146247
PAY82926844,44952,820.4,Bank Transfer,Failed,POL89387677
PAY55647203,45379,485.48,Bank Transfer,Failed,POL96023706
PAY21269372,44889,969.29,Bank Transfer,Failed,POL02336146
PAY13105314,45099,404.06,Cash,Successful,POL74477795
PAY72425798,45372,538.19,Cash,Failed,POL31461864
PAY74738263,44811,761.45,Bank Transfer,Successful,POL45751576
PAY42094573,45434,902.76,Cash,Successful,POL58855449
PAY62526371,45193,1488.48,Bank Transfer,Successful,POL30351443
PAY92082696,45136,628.95,Bank Transfer,Failed,POL65528035
PAY03039403,44732,1419.11,Credit Card,Successful,POL12925982
PAY36605213,44917,215.78,Cash,Successful,POL70698520
PAY82892888,45241,1308.86,Bank Transfer,Failed,POL23203391
PAY56010076,45221,595.11,Cash,Failed,POL28853856
PAY88286709,44848,798.59,Credit Card,Successful,POL54824622
PAY32731847,45355,870.66,Cash,Successful,POL86234151
PAY72552360,45565,611.3,Credit Card,Failed,POL82016751
PAY83773684,44871,1068.51,Cash,Successful,POL14385172
PAY57436817,45581,667.79,Bank Transfer,Failed,POL99568401
PAY14985955,45372,1185.95,Credit Card,Failed,POL02004502
PAY96159971,44986,1308.12,Credit Card,Failed,POL89539607
PAY16211133,45041,1445.57,Cash,Successful,POL83650350
PAY46006800,44905,1283.01,Bank Transfer,Successful,POL69068296
PAY22193714,45003,1211.44,Cash,Failed,POL33049382
PAY12532938,44619,992.38,Credit Card,Successful,POL65664761
PAY40933801,45468,1081.1,Bank Transfer,Failed,POL15165645
PAY64924577,45337,658.31,Credit Card,Successful,POL84549394
PAY83300750,45491,1077.02,Cash,Successful,POL09884871
PAY90259742,45528,55.44,Cash,Successful,POL19823419
PAY16906069,45262,1460.45,Cash,Successful,POL35891090
PAY77762866,45380,308.26,Bank Transfer,Failed,POL55857160
PAY06600629,45362,364.41,Bank Transfer,Failed,POL24131589
PAY01366714,44553,973.22,Cash,Successful,POL13181341
PAY03214505,45488,1386.67,Credit Card,Failed,POL21893654
PAY13035822,45638,1335.23,Cash,Successful,POL31194577
PAY98460564,45445,1005.17,Bank Transfer,Successful,POL54348718
PAY79042841,44987,785.22,Cash,Failed,POL43533359
PAY13776972,44982,1320.08,Credit Card,Failed,POL75806090
PAY53643402,44741,465.79,Cash,Failed,POL09607120
PAY54163715,44592,897.34,Bank Transfer,Successful,POL81473954
PAY99613031,44721,1211.08,Bank Transfer,Failed,POL85357404
PAY09212278,44623,584.73,Credit Card,Failed,POL68099694
PAY24120373,45250,1251.77,Cash,Successful,POL17436318
PAY43153681,44924,727.28,Bank Transfer,Failed,POL61445310
PAY91410832,45563,975,Bank Transfer,Failed,POL25998313
PAY23682900,45301,1031.25,Credit Card,Failed,POL65284354
PAY61550970,45270,100.83,Credit Card,Failed,POL11657273
PAY71855954,45485,807.22,Cash,Successful,POL79051924
PAY32301407,45489,1479.54,Cash,Successful,POL35077867
PAY76132318,45460,1134.9,Cash,Failed,POL31729294
PAY95643662,45107,986.39,Bank Transfer,Failed,POL47598430
PAY49370163,45217,216.24,Cash,Failed,POL88776548
PAY46406752,44711,714.96,Cash,Failed,POL43684594
PAY98634188,45517,919.58,Credit Card,Failed,POL86552601
PAY50661024,45218,1248.05,Cash,Failed,POL37412181
PAY58994098,44882,1213.24,Cash,Successful,POL96802208
PAY54976039,45155,1100.39,Credit Card,Successful,POL29892884
PAY48576029,45602,1477.76,Bank Transfer,Failed,POL11213350
PAY82390971,45071,1192.82,Credit Card,Successful,POL79145337
PAY71523073,44635,875.88,Bank Transfer,Failed,POL21241927
PAY07129426,45310,744.06,Cash,Failed,POL88177917
PAY53277943,44577,1264.67,Bank Transfer,Successful,POL31936663
PAY38207761,45293,980.03,Bank Transfer,Failed,POL91301507
PAY89744174,44892,655.45,Bank Transfer,Successful,POL82520665
PAY17721134,44566,864.54,Cash,Failed,POL02648001
PAY64662538,44756,1236.6,Credit Card,Failed,POL93648130
PAY29558755,44885,677.93,Credit Card,Successful,POL98433170
PAY07801515,45269,1361.21,Cash,Failed,POL23599244
PAY69709669,45208,337.98,Credit Card,Failed,POL89182008
PAY75020726,44637,1004.39,Credit Card,Failed,POL04101668
PAY59217270,44589,832.14,Credit Card,Successful,POL17206182
PAY93349893,44666,184.31,Cash,Successful,POL68879274
PAY96261555,45099,595.66,Bank Transfer,Failed,POL76734987
PAY18274740,45217,609.16,Cash,Failed,POL34621999
PAY57535748,45138,378.06,Cash,Successful,POL16254654
PAY70944236,45168,677.83,Cash,Successful,POL99602250
PAY76035874,45374,864.16,Cash,Successful,POL87600552
PAY40661323,45398,1287.74,Credit Card,Successful,POL26112372
PAY13711651,45060,1364.44,Bank Transfer,Failed,POL98940145
PAY04486553,45179,942.93,Bank Transfer,Failed,POL81378407
PAY78479290,44846,239.1,Credit Card,Successful,POL40288131
PAY71414816,45370,1388.33,Bank Transfer,Failed,POL22946424
PAY25031732,45254,1040.8,Bank Transfer,Failed,POL88647419
PAY39642442,45165,975.73,Bank Transfer,Successful,POL66984423
PAY79333766,45492,1234.18,Bank Transfer,Failed,POL44476991
PAY02765895,45582,1350.45,Cash,Failed,POL87625141
PAY13508448,45141,1183.36,Credit Card,Failed,POL93447913
PAY37041680,44831,1406.35,Cash,Successful,POL64386769
PAY13302535,45419,275.5,Credit Card,Successful,POL75784905
PAY24808575,44983,1154.12,Bank Transfer,Failed,POL06543318
PAY19531576,44953,1213.31,Bank Transfer,Failed,POL29315631
PAY47679388,44927,70.35,Cash,Successful,POL25507617
PAY31718493,44918,71.15,Credit Card,Successful,POL12964771
PAY53248348,44805,836.54,Cash,Failed,POL10592751
PAY35485347,45220,1171.99,Bank Transfer,Successful,POL95336212
PAY32221134,45241,312.65,Cash,Successful,POL24466673
PAY32580582,44644,306.32,Bank Transfer,Failed,POL20175576
PAY67077723,44881,682.51,Credit Card,Successful,POL63838195
PAY20944059,45001,66.55,Cash,Successful,POL17801092
PAY12651123,44646,497.09,Bank Transfer,Failed,POL76989054
PAY45673239,44828,217.73,Cash,Successful,POL34042376
PAY44759955,45019,1039.25,Cash,Successful,POL48112744
PAY57434460,45417,310.58,Cash,Successful,POL39701482
PAY50375777,44956,1342.91,Bank Transfer,Failed,POL46303313
PAY05082589,45493,832.71,Cash,Failed,POL38583909
PAY37479545,44769,737.35,Cash,Successful,POL98348434
PAY89079939,44833,179.8,Bank Transfer,Successful,POL25617891
PAY76032399,45574,931.69,Bank Transfer,Successful,POL68966328
PAY69447355,45618,750.97,Cash,Failed,POL01267201
PAY29441732,45296,821.32,Cash,Successful,POL79310767
PAY38929096,44932,1473.86,Bank Transfer,Successful,POL01356668
PAY86741971,44739,497.52,Cash,Failed,POL64188394
PAY26628620,45056,570.52,Cash,Successful,POL83845394
PAY30887883,44658,1448.29,Credit Card,Successful,POL40546562
PAY27307038,45095,381.01,Credit Card,Successful,POL23203391
PAY47572215,45307,1463.42,Credit Card,Failed,POL74597020
PAY40437712,45107,198.51,Bank Transfer,Failed,POL61913458
PAY81676243,45275,544.5,Bank Transfer,Successful,POL54524104
PAY04055848,45122,1057.23,Cash,Successful,POL66952651
PAY51680287,45521,1310.95,Bank Transfer,Successful,POL91121585
PAY38467490,45456,80.59,Credit Card,Successful,POL61062551
PAY63321375,44978,1334.87,Bank Transfer,Failed,POL86299537
PAY16159584,45512,1310.97,Credit Card,Failed,POL88709617
PAY74865622,44585,1350.43,Cash,Failed,POL43397255
PAY64162293,45422,948.01,Credit Card,Successful,POL84360532
PAY98034301,45025,441.79,Cash,Failed,POL07383816
PAY31296442,45222,725.2,Cash,Successful,POL06557000
PAY95090459,44750,1034.15,Credit Card,Failed,POL96832435
PAY83826881,45078,950.65,Cash,Successful,POL52134760
PAY96720869,45236,595.34,Cash,Failed,POL13931730
PAY18307090,45448,744.02,Bank Transfer,Failed,POL68532142
PAY46238103,45256,793.67,Cash,Successful,POL95524303
PAY75776099,45388,469.23,Credit Card,Successful,POL69557850
PAY60730693,44704,1151.92,Cash,Failed,POL30563403
PAY15475792,44634,419.34,Credit Card,Failed,POL35769314
PAY93991175,44981,771.45,Credit Card,Failed,POL93399992
PAY19470718,44590,613.37,Bank Transfer,Successful,POL93327871
PAY29820332,44983,1411.1,Cash,Failed,POL93504222
PAY74335619,45199,1083.55,Credit Card,Failed,POL21020862
PAY75895858,44895,574.54,Credit Card,Successful,POL46201776
PAY70424863,44679,783.53,Bank Transfer,Successful,POL31856502
PAY14609864,44901,852.11,Bank Transfer,Failed,POL45309482
PAY51524295,45212,1176.72,Cash,Successful,POL77188684
PAY64614220,45089,330.49,Bank Transfer,Failed,POL83057308
PAY11951343,45326,1481.27,Bank Transfer,Successful,POL11532182
PAY83476182,45555,72.32,Cash,Failed,POL12305734
PAY63812408,45346,1434.02,Credit Card,Failed,POL26293582
PAY68033040,44902,1260.51,Cash,Successful,POL87381995
PAY46783052,45159,244.75,Bank Transfer,Failed,POL39271824
PAY16624909,44609,1423.17,Bank Transfer,Successful,POL32721241
PAY59080756,45134,716.29,Credit Card,Failed,POL40441861
PAY62705828,45042,643.6,Credit Card,Failed,POL53374047
PAY12936513,44751,903.43,Bank Transfer,Failed,POL29803500
PAY18888213,45573,632.17,Bank Transfer,Failed,POL20321964
PAY17591952,45303,905.82,Bank Transfer,Failed,POL05159511
PAY50016007,45166,992.96,Bank Transfer,Failed,POL92491659
PAY59993149,45325,109.34,Cash,Failed,POL91672539
PAY12916761,45625,210.4,Cash,Successful,POL54750482
PAY04351482,44693,1327.92,Credit Card,Failed,POL46853221
PAY21701209,44692,189.54,Cash,Successful,POL78823556
PAY84247190,45464,754.13,Credit Card,Successful,POL77366966
PAY55276943,45374,1448.65,Bank Transfer,Successful,POL17357252
PAY92017050,44794,144.67,Cash,Failed,POL82064166
PAY73267695,45092,213.87,Credit Card,Failed,POL14768104
PAY47697390,44993,1306.99,Cash,Failed,POL21533048
PAY97388548,45391,322.04,Bank Transfer,Failed,POL97881363
PAY48273422,45087,900.23,Cash,Successful,POL38588789
PAY80675129,44805,1317.36,Credit Card,Failed,POL59607702
PAY33489157,45040,1190.71,Credit Card,Failed,POL20597369
PAY02122166,44862,454.2,Credit Card,Failed,POL69129432
PAY09996932,45247,1441.47,Credit Card,Failed,POL40860073
PAY82494891,45090,515.93,Cash,Failed,POL25662324
PAY93243435,44621,1259.5,Cash,Failed,POL31936663
PAY36709004,45382,928.61,Bank Transfer,Successful,POL89376913
PAY96417144,44737,429.36,Cash,Failed,POL10008915
PAY58259878,45073,783.89,Bank Transfer,Failed,POL10223827
PAY90237545,45013,465.73,Cash,Failed,POL01033936
PAY45874159,44879,1414.39,Credit Card,Successful,POL42192806
PAY89514239,45603,380.55,Credit Card,Successful,POL45394277
PAY64039492,45507,674.88,Credit Card,Successful,POL37551406
PAY31379978,44923,765.74,Cash,Successful,POL87381995
PAY03983765,44946,694.37,Cash,Successful,POL91672539
PAY45156546,44670,1041.72,Credit Card,Failed,POL07946398
PAY73951818,45475,1054.81,Credit Card,Successful,POL47001205
PAY42000122,44734,1249,Credit Card,Successful,POL09615361
PAY24520197,45372,401.8,Credit Card,Failed,POL25392096
PAY65562283,45030,1011.8,Credit Card,Failed,POL36528332
PAY34122657,45443,781.64,Credit Card,Successful,POL92865559
PAY37636384,45100,1440.36,Bank Transfer,Failed,POL11532182
PAY71165313,45211,1207.37,Credit Card,Successful,POL67510645
PAY69943565,44586,140.71,Credit Card,Failed,POL33832316
PAY27586976,44914,246.55,Bank Transfer,Successful,POL54524104
PAY71768541,44827,852.89,Cash,Failed,POL53051476
PAY97479258,44654,1172.84,Credit Card,Failed,POL04448150
PAY23652325,45386,1322.98,Bank Transfer,Failed,POL60030374
PAY90334487,45141,737.28,Credit Card,Successful,POL88871637
PAY72648149,44835,1384.09,Credit Card,Failed,POL93532453
PAY89310578,44601,951.39,Credit Card,Failed,POL98989117
PAY75931416,44565,631.2,Credit Card,Successful,POL98972486
PAY09664664,45383,1474.81,Cash,Successful,POL66183736
PAY45403010,44553,1238.53,Cash,Failed,POL91532160
PAY98502713,44907,1203.92,Cash,Failed,POL14393103
PAY64922038,44926,1166.61,Cash,Failed,POL81122472
PAY33073571,45050,1069.63,Bank Transfer,Successful,POL56170272
PAY65663071,45114,1242.85,Bank Transfer,Failed,POL37801835
PAY47187177,45073,1493,Bank Transfer,Failed,POL04129775
PAY74364578,45289,1041.25,Bank Transfer,Successful,POL35541554
PAY96630141,45363,436.07,Credit Card,Failed,POL03499634
PAY95076380,44776,163.13,Cash,Failed,POL78176386
PAY50759997,45242,1347.98,Cash,Failed,POL71437971
PAY66202740,45635,300.73,Bank Transfer,Successful,POL07094060
PAY73332008,44981,885.19,Cash,Successful,POL71239767
PAY38412866,45451,946.6,Credit Card,Failed,POL66670427
PAY68237780,45182,596.81,Bank Transfer,Successful,POL63114558
PAY24677204,44754,470.69,Credit Card,Failed,POL23599244
PAY62336446,45555,1379.88,Bank Transfer,Successful,POL19165656
PAY21195634,44608,1256.63,Cash,Successful,POL83845394
PAY00042428,44915,1456.94,Bank Transfer,Failed,POL26638176
PAY12818279,45631,901.65,Credit Card,Successful,POL69546989
PAY52080192,45597,753.38,Cash,Successful,POL96194303
PAY05468546,45351,1403.8,Credit Card,Failed,POL47630985
PAY05669055,44870,641.71,Credit Card,Successful,POL12273521
PAY38756066,45242,163.33,Cash,Successful,POL32232315
PAY20731361,44894,1152.28,Credit Card,Successful,POL89850916
PAY81893411,45181,568.9,Credit Card,Successful,POL29470118
PAY83550357,44739,1140.83,Cash,Successful,POL09390236
PAY97683456,45461,1122.7,Cash,Failed,POL29315631
PAY29123645,44881,374.26,Credit Card,Successful,POL17982019
PAY25395155,44658,1228.3,Cash,Successful,POL16834109
PAY72802507,45521,1118.61,Cash,Failed,POL07841878
PAY86594261,44775,1166.96,Credit Card,Failed,POL27482488
PAY04448815,44553,84.16,Bank Transfer,Failed,POL95836164
PAY57132552,44747,293.32,Credit Card,Successful,POL09750798
PAY94296694,44988,1248.31,Cash,Failed,POL88672866
PAY74267466,44599,897.07,Cash,Successful,POL07094060
PAY83158533,44933,885.3,Cash,Successful,POL32660341
PAY20838585,44872,456.18,Cash,Successful,POL23057519
PAY62511207,45046,892.67,Cash,Failed,POL57676193
PAY37203091,44663,1012.13,Cash,Failed,POL13559855
PAY28611884,44673,114.6,Credit Card,Failed,POL19011462
PAY07670253,45574,129.34,Credit Card,Successful,POL57578050
PAY72914993,44744,884.4,Bank Transfer,Failed,POL88048338
PAY87339404,44881,129,Bank Transfer,Successful,POL64858473
PAY28625995,44872,1117.72,Bank Transfer,Failed,POL88411869
PAY08462822,44932,735.72,Bank Transfer,Failed,POL32646006
PAY92437940,45293,1040.77,Bank Transfer,Successful,POL57116310
PAY04045596,45086,172.47,Cash,Failed,POL92386046
PAY52364491,44840,1305.58,Bank Transfer,Successful,POL48245779
PAY72858448,44996,145.85,Credit Card,Successful,POL27372206
PAY28453114,45047,948.09,Bank Transfer,Failed,POL73147278
PAY25687609,44617,1076.17,Bank Transfer,Failed,POL32410068
PAY09436829,45003,1478.94,Credit Card,Failed,POL25823193
PAY39495224,45249,221.78,Bank Transfer,Failed,POL09338514
PAY01419335,44730,1087.26,Cash,Successful,POL30181067
PAY98290390,44684,139.91,Cash,Failed,POL47001205
PAY94241379,45112,369.77,Credit Card,Failed,POL12199855
PAY09968115,45466,373.6,Bank Transfer,Successful,POL54078734
PAY09540325,45159,1181.3,Bank Transfer,Failed,POL23666757
PAY80557586,45113,1313.78,Cash,Failed,POL40877445
PAY32735187,45517,1154.91,Cash,Failed,POL54226110
PAY81469258,45298,80.52,Cash,Failed,POL07768534
PAY18712219,45043,495.16,Bank Transfer,Successful,POL60130664
PAY67155725,44572,1064.02,Cash,Successful,POL98975002
PAY10570166,45455,1430.36,Bank Transfer,Failed,POL24466673
PAY36045832,45219,728.67,Cash,Successful,POL92547677
PAY92540957,44726,83.41,Bank Transfer,Failed,POL86559672
PAY02491521,45637,1409.89,Credit Card,Successful,POL94687907
PAY66423492,45265,1067.79,Cash,Failed,POL95639941
PAY46669985,44586,826.37,Bank Transfer,Successful,POL52933183
PAY69211977,45419,1478.3,Credit Card,Successful,POL81192447
PAY28577909,45057,1287.44,Credit Card,Successful,POL86878649
PAY09570814,45429,957.58,Cash,Failed,POL66022914
PAY15782944,44784,1456.98,Cash,Failed,POL38638977
PAY18024500,45175,98.67,Credit Card,Failed,POL13813789
PAY12365667,45269,345.25,Bank Transfer,Failed,POL83165381
PAY61267819,44634,1292.52,Cash,Failed,POL02313500
PAY17308658,44820,1188.07,Cash,Failed,POL04612795
PAY50055870,44726,728.72,Cash,Failed,POL43784976
PAY82131617,44863,198.24,Cash,Successful,POL91516623
PAY82297830,45545,1444.91,Credit Card,Successful,POL73793836
PAY16378903,45601,417.48,Bank Transfer,Successful,POL18546067
PAY75872742,44629,1147.63,Credit Card,Failed,POL58829430
PAY68655693,45239,928.55,Credit Card,Successful,POL87102563
PAY44188916,45348,723.48,Credit Card,Successful,POL33177916
PAY19527187,44850,1425.57,Bank Transfer,Failed,POL65041637
PAY77811608,45104,1239.64,Cash,Failed,POL19976069
PAY44411054,44755,847.62,Bank Transfer,Failed,POL37435643
PAY70255330,45005,518.5,Credit Card,Successful,POL90628400
PAY54691158,45053,1272.51,Bank Transfer,Successful,POL75133618
PAY36140200,44896,172.38,Credit Card,Successful,POL04847102
PAY34085482,45474,850.54,Credit Card,Failed,POL19957770
PAY51676003,44832,699.14,Cash,Failed,POL16164633
PAY59978515,45308,1085.51,Bank Transfer,Successful,POL69702312
PAY84379206,44599,652.28,Cash,Failed,POL08895135
PAY15169087,45034,1106.25,Cash,Failed,POL72359932
PAY32341034,45360,918.39,Credit Card,Successful,POL32150481
PAY89387523,45355,689.37,Credit Card,Failed,POL79722953
PAY63648293,45059,188.74,Credit Card,Successful,POL63810929
PAY82607281,44880,91.93,Bank Transfer,Failed,POL92070714
PAY89600229,44921,219.64,Bank Transfer,Successful,POL72790503
PAY95723382,45134,946.09,Cash,Successful,POL72485507
PAY01674523,45187,51.94,Credit Card,Successful,POL08713900
PAY41278633,45424,579.41,Cash,Successful,POL21502536
PAY66442522,44850,1261.37,Cash,Successful,POL91428444
PAY36865544,44914,1280.45,Cash,Successful,POL42310944
PAY54483929,45271,300.99,Cash,Failed,POL85106188
PAY61687674,44983,494.78,Cash,Failed,POL61565089
PAY78511662,45395,1068.07,Bank Transfer,Successful,POL73952203
PAY98672648,44693,439.12,Cash,Successful,POL63232424
PAY11222210,44701,1453.71,Credit Card,Successful,POL99450257
PAY46445341,45017,482.01,Cash,Successful,POL41321341
PAY57915420,44807,1380.38,Cash,Successful,POL64674789
PAY36815177,44701,587.62,Credit Card,Failed,POL94998693
PAY32133839,44569,978.26,Credit Card,Failed,POL02588835
PAY37710202,45023,218.54,Cash,Failed,POL03123237
PAY08302266,44959,589.77,Credit Card,Failed,POL49819394
PAY77302061,45026,1058.66,Credit Card,Failed,POL66023892
PAY96353424,45618,731.14,Cash,Successful,POL65886871
PAY14670314,44920,1007.5,Bank Transfer,Successful,POL83011095
PAY15107833,45086,761.38,Credit Card,Failed,POL06318068
PAY73792389,45558,1412.85,Credit Card,Successful,POL38489977
PAY82374228,45560,586.04,Cash,Failed,POL37801835
PAY02206423,45352,1092.27,Bank Transfer,Successful,POL84705908
PAY21749069,45159,269.43,Bank Transfer,Successful,POL01386021
PAY41606496,45344,849.94,Credit Card,Successful,POL83011095
PAY87959565,45071,838.46,Credit Card,Failed,POL89915201
PAY30942030,44996,1031.12,Cash,Failed,POL09045141
PAY70817127,45402,1205.42,Credit Card,Successful,POL13716373
PAY63457650,44702,440.34,Credit Card,Failed,POL96567148
PAY02943974,44708,670.84,Credit Card,Successful,POL95004499
PAY44963660,45242,428.94,Cash,Failed,POL22934928
